season,season_id,school_id,stats_player_seq,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2023,16340,5,2496201,1.0,1,1.0,0,1,0,0.0,0,4.333333333333333,4,4,3,1,0,0,3,0,2,1,0,1,21,16,0,0,0,1,1,10,1,0.0,0.0,6.230769230769232,89.0,4.906406601355752,1.6153846153846154,8.307692307692308,0.0,6.230769230769232,4.153846153846154,0.6666666666666666,8.307692307692308
2023,16340,5,2673188,1.0,1,0.0,0,0,0,0.0,0,1.6666666666666665,3,3,2,0,0,0,1,0,3,1,0,0,10,7,2,0,1,0,1,1,0,0.0,,10.8,51.0,3.060252755201906,2.4000000000000004,16.200000000000003,0.0,5.4,16.200000000000003,3.0,16.200000000000003
2023,16340,5,2673313,1.0,1,0.0,0,0,0,0.0,0,2.3333333333333335,2,2,2,0,0,0,5,1,1,2,0,3,16,8,0,0,1,0,2,4,0,0.0,,7.7142857142857135,72.0,11.203109898059049,3.0,7.7142857142857135,0.0,19.285714285714285,3.8571428571428568,0.2,7.7142857142857135
2023,16340,5,2828031,1.0,1,1.0,0,0,0,0.0,0,5.0,2,0,0,1,0,0,2,0,6,0,0,0,19,17,0,0,0,0,4,4,2,0.0,,0.0,,1.8602527552019061,0.8,3.6,0.0,3.6,10.799999999999999,3.0,0.0
2023,16340,5,2828035,1.0,2,0.0,0,1,0,0.0,0,3.6666666666666665,6,5,5,1,0,2,2,0,4,2,0,0,21,17,4,2,0,0,4,3,1,0.0,0.0,12.272727272727273,45.0,11.242070937020088,2.181818181818182,14.727272727272728,4.90909090909091,4.90909090909091,9.81818181818182,2.0,12.272727272727273
2023,16340,5,2828063,1.0,1,0.0,0,0,0,0.0,0,1.6666666666666665,2,2,2,1,0,0,0,0,1,0,0,1,7,6,1,0,1,0,3,1,0,0.0,,10.8,51.0,1.860252755201906,1.2000000000000002,10.8,0.0,0.0,5.4,,10.8
2023,16340,5,2828065,1.0,2,0.0,0,0,1,0.0,0,1.3333333333333333,0,1,1,0,0,0,2,0,2,0,0,0,7,5,0,0,0,0,1,1,0,0.0,,6.75,82.0,4.5602527552019065,1.5,0.0,0.0,13.5,13.5,1.0,6.75
2023,16340,6,2308870,1.0,1,0.0,0,0,0,0.0,0,0.6666666666666666,5,7,3,2,1,0,2,0,1,0,0,1,11,9,2,2,0,0,1,0,0,0.0,,40.5,14.0,9.060252755201907,10.5,67.5,0.0,27.0,13.5,0.5,94.5
2023,16340,6,2308915,1.0,1,0.0,0,0,0,0.0,0,2.6666666666666665,4,3,3,2,1,1,1,0,1,0,0,0,13,12,2,1,0,0,4,3,0,0.0,,10.125,55.0,8.310252755201907,1.875,13.5,3.375,3.375,3.375,1.0,10.125
2023,16340,6,2680999,1.0,1,0.0,0,0,0,0.0,0,1.0,2,3,3,0,1,0,2,0,0,0,0,0,7,5,0,0,0,0,2,1,0,0.0,,27.0,21.0,9.060252755201907,4.0,18.0,0.0,18.0,0.0,0.0,27.0
2023,16340,6,2681001,1.0,1,0.0,0,0,0,0.0,0,0.3333333333333333,2,6,5,0,0,1,3,0,0,0,0,2,7,4,2,2,0,0,1,0,0,0.0,,135.0,4.0,69.0602527552019,15.0,54.0,27.0,81.0,0.0,0.0,162.0
2023,16340,6,2689865,1.0,1,0.0,0,0,0,0.0,0,1.0,2,2,2,1,0,0,2,0,0,0,1,0,7,4,0,0,1,0,2,1,0,0.0,,18.0,31.0,9.060252755201907,4.0,18.0,0.0,18.0,0.0,0.0,18.0
2023,16340,6,2829468,1.0,1,1.0,1,0,0,0.0,0,5.0,3,1,1,1,0,0,3,0,5,1,0,3,22,17,0,0,1,0,6,3,1,0.0,1.0,1.8,308.0,3.460252755201906,1.2,5.3999999999999995,0.0,5.3999999999999995,9.0,1.6666666666666667,1.8
2023,16340,7,2129572,1.0,2,0.0,0,0,0,0.0,0,5.0,1,0,0,0,0,0,4,0,9,1,0,0,21,16,0,0,0,0,2,3,2,0.0,,0.0,,2.460252755201906,1.0,1.8,0.0,7.2,16.2,2.25,0.0
2023,16340,7,2333474,1.0,3,0.0,1,0,0,0.0,0,6.0,5,2,2,0,1,0,0,0,4,0,0,0,23,22,4,3,0,1,8,6,1,0.0,1.0,3.0,185.0,1.7269194218685728,0.8333333333333334,7.5,0.0,0.0,6.0,,3.0
2023,16340,7,2333495,1.0,1,0.0,0,0,0,0.0,0,3.6666666666666665,3,1,1,2,0,0,1,0,2,0,0,0,15,14,2,1,0,0,2,7,0,0.0,,2.454545454545455,226.0,2.787525482474633,1.090909090909091,7.363636363636364,0.0,2.454545454545455,4.90909090909091,2.0,2.454545454545455
2023,16340,7,2493077,1.0,1,0.0,0,0,0,0.0,0,2.0,0,0,0,0,0,0,1,0,1,0,0,1,7,6,3,2,0,0,2,2,0,0.0,,0.0,,3.560252755201906,0.5,0.0,0.0,4.5,4.5,1.0,0.0
2023,16340,7,2494757,1.0,1,1.0,1,0,0,0.0,0,4.0,5,4,1,3,0,0,2,0,6,0,1,0,20,18,0,0,0,0,0,4,1,0.0,1.0,2.25,246.0,1.560252755201906,1.75,11.25,0.0,4.5,13.5,3.0,9.0
2023,16340,7,2678720,1.0,1,0.0,0,0,0,0.0,0,1.0,3,2,2,0,0,1,0,0,0,0,0,0,6,6,0,0,0,0,1,2,0,0.0,,18.0,31.0,16.060252755201905,3.0,27.0,9.0,0.0,0.0,,18.0
2023,16340,7,2678725,1.0,1,1.0,1,0,0,0.0,0,5.0,2,0,0,0,0,0,2,0,4,0,0,0,18,16,0,0,0,0,2,8,2,0.0,1.0,0.0,,2.660252755201906,0.8,3.6,0.0,3.6,7.2,2.0,0.0
2023,16340,7,2678729,1.0,2,0.0,0,0,1,0.0,0,2.3333333333333335,1,0,0,0,0,0,1,0,2,1,0,1,9,7,1,1,0,0,2,2,0,0.0,,0.0,,3.9173956123447633,0.8571428571428571,3.8571428571428568,0.0,3.8571428571428568,7.7142857142857135,2.0,0.0
2023,16340,7,2821608,1.0,1,1.0,0,0,0,0.0,0,4.0,5,3,3,2,0,1,3,0,1,0,0,0,20,17,0,0,0,0,4,7,1,0.0,,6.75,82.0,8.060252755201907,2.0,11.25,2.25,6.75,2.25,0.3333333333333333,6.75
2023,16340,7,2821645,1.0,1,0.0,0,0,0,0.0,0,1.0,1,3,3,0,0,0,2,0,1,0,0,0,6,4,0,0,0,0,0,2,0,0.0,,27.0,21.0,7.0602527552019065,3.0,9.0,0.0,18.0,9.0,0.5,27.0
