season,season_id,school_id,stats_player_seq,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HB,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2017,12560,2,1884440,12,0.0,1,0,0,0.0,0,19.0,29,25,20,8,0,0,14,0,14,8,0,4,102,78,4,2,0,2,16,19,2,0.0,1.0,9.473684210526315,2.263157894736842,13.73684210526316,0.0,6.63157894736842,6.63157894736842,1.0,11.842105263157896
2017,12560,2,1884442,22,5.0,1,4,1,0.0,0,42.33333333333333,57,53,43,10,6,4,31,0,34,6,0,3,218,178,16,10,2,1,34,53,10,0.0,0.2,9.141732283464568,2.0787401574803153,12.118110236220472,0.8503937007874017,6.590551181102363,7.228346456692915,1.096774193548387,11.267716535433072
2017,12560,3,1537987,11,1.0,0,0,0,0.0,0,12.666666666666666,22,16,16,3,1,2,7,0,11,4,0,5,71,58,8,3,0,2,13,13,5,0.0,,11.36842105263158,2.2894736842105265,15.631578947368421,1.4210526315789476,4.973684210526316,7.815789473684211,1.5714285714285714,11.36842105263158
2017,12560,3,1537990,7,0.0,0,0,0,0.0,0,6.333333333333333,5,3,3,1,0,0,7,1,9,1,1,3,31,22,6,0,0,1,3,6,2,0.0,,4.2631578947368425,1.8947368421052633,7.105263157894737,0.0,9.947368421052632,12.789473684210526,1.2857142857142858,4.2631578947368425
2017,12560,3,1537991,13,11.0,8,3,0,3.0,3,77.66666666666667,56,18,13,8,1,2,7,0,81,3,0,4,292,279,0,0,2,1,80,60,25,0.0,0.7272727272727273,1.5064377682403434,0.8111587982832618,6.489270386266094,0.2317596566523605,0.8111587982832618,9.3862660944206,11.571428571428571,2.0858369098712446
2017,12560,3,1537992,1,0.0,0,0,0,0.0,0,1.0,2,1,1,0,0,0,0,0,1,1,0,0,6,5,0,0,0,0,2,0,0,0.0,,9.0,2.0,18.0,0.0,0.0,9.0,,9.0
2017,12560,3,1653701,16,0.0,3,1,1,0.0,0,22.0,18,5,5,2,0,1,5,0,17,3,0,2,90,82,11,2,0,0,27,19,11,0.0,0.75,2.0454545454545454,1.0454545454545454,7.363636363636364,0.4090909090909091,2.0454545454545454,6.954545454545454,3.4,2.0454545454545454
2017,12560,3,1653702,3,0.0,0,0,0,0.0,0,3.6666666666666665,3,5,5,0,0,0,3,0,2,2,1,0,19,13,5,3,0,1,7,2,0,0.0,,12.272727272727273,1.6363636363636365,7.363636363636364,0.0,7.363636363636364,4.90909090909091,0.6666666666666666,12.272727272727273
2017,12560,3,1653703,18,0.0,1,2,0,0.0,0,30.0,28,14,6,4,1,0,19,0,30,1,1,0,139,116,9,6,1,1,28,25,7,0.0,0.3333333333333333,1.8,1.5666666666666667,8.4,0.0,5.699999999999999,9.0,1.5789473684210527,4.2
2017,12560,3,1771384,13,9.0,4,3,0,1.0,0,60.0,61,27,19,9,1,1,23,0,49,8,1,4,270,238,0,0,0,1,70,50,11,0.0,0.5714285714285714,2.8499999999999996,1.4,9.149999999999999,0.15,3.45,7.35,2.130434782608696,4.05
