season,season_id,school_id,stats_player_seq,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B,3B,Bk,HR,WP,HB,IBB,IR,IRS,SHA,SFA,GO,FO,W,L,SV,KL,CG,pickoffs,PI,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2022,15860,2,2117386,19,35.33333333333333,32,16,9,8,37,0,150,135,9,0,0,1,8,6,0,19,6,0,1,21,42,3,1,2,13,0.0,0.0,488.0,0.75,2.2924528301886795,1.1320754716981134,8.150943396226417,0.2547169811320755,2.037735849056604,9.424528301886793,4.625,4.075471698113208
2022,15860,2,2301772,10,19.0,28,19,17,6,8,0,90,80,6,1,0,1,3,3,0,8,3,1,0,24,20,0,1,0,3,0.0,0.0,298.0,0.0,8.052631578947368,1.7894736842105263,13.26315789473684,0.47368421052631576,2.8421052631578947,3.789473684210526,1.3333333333333333,9.0
2022,15860,2,2347964,3,3.0,5,4,4,1,4,0,15,14,1,1,0,2,1,0,0,0,0,0,0,3,2,0,0,0,0,0.0,0.0,67.0,,12.0,2.0,15.0,6.0,3.0,12.0,4.0,12.0
2022,15860,2,2347976,16,75.0,86,52,41,30,82,0,343,298,20,0,0,11,9,8,0,0,0,4,3,61,71,6,5,0,27,0.0,0.0,1223.0,0.5454545454545454,4.92,1.5466666666666666,10.32,1.32,3.6,9.84,2.7333333333333334,6.24
2022,15860,2,2470004,9,9.666666666666666,13,9,6,8,11,0,54,41,5,0,0,0,4,3,0,8,6,1,1,10,7,0,0,0,5,0.0,0.0,219.0,,5.586206896551724,2.1724137931034484,12.10344827586207,0.0,7.448275862068966,10.241379310344827,1.375,8.379310344827587
2022,15860,2,2678253,4,3.3333333333333335,6,11,10,5,2,0,22,15,2,0,0,2,1,1,0,0,0,1,0,5,3,0,2,0,1,0.0,0.0,104.0,0.0,27.0,3.3,16.2,5.3999999999999995,13.5,5.3999999999999995,0.4,29.7
2022,15860,3,1982978,6,4.666666666666666,3,4,4,4,3,0,21,17,0,0,0,1,0,0,0,6,1,0,0,3,8,0,1,2,1,0.0,0.0,70.0,0.0,7.714285714285715,1.5000000000000002,5.7857142857142865,1.9285714285714288,7.714285714285715,5.7857142857142865,0.75,7.714285714285715
2022,15860,3,2331403,13,19.666666666666664,15,13,8,8,26,0,88,78,3,0,0,1,2,1,1,3,2,1,0,15,18,1,0,0,9,0.0,0.0,367.0,1.0,3.6610169491525424,1.169491525423729,6.864406779661017,0.4576271186440678,3.6610169491525424,11.898305084745765,3.25,5.949152542372882
2022,15860,3,2648608,4,4.666666666666666,7,4,4,4,1,0,25,21,0,0,0,1,0,0,0,0,0,0,0,5,7,0,0,0,0,0.0,0.0,96.0,,7.714285714285715,2.3571428571428577,13.500000000000002,1.9285714285714288,7.714285714285715,1.9285714285714288,0.25,7.714285714285715
2022,15860,4,2149774,11,50.0,48,33,31,27,43,0,232,191,6,0,0,6,4,8,2,0,0,3,3,36,67,2,3,0,17,0.0,0.0,594.0,0.4,5.58,1.5,8.64,1.08,4.86,7.74,1.5925925925925926,5.94
