season,season_id,school_id,stats_player_seq,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2016,12360,2,1420630,1.0,26,0.0,0,4,7,0.0,0,38.666666666666664,31,20,18,6,2,1,17,3,34,3,0,4,167,142,23,8,4,1,43,35,9,0.0,0.0,4.189655172413794,113.0,3.1437918359324946,1.2413793103448276,7.215517241379311,0.2327586206896552,3.9568965517241383,7.913793103448277,2.0,4.655172413793104
2016,12360,2,1547054,1.0,19,0.0,0,2,2,0.0,0,15.666666666666666,17,16,14,7,1,2,8,0,15,1,3,1,73,62,5,2,0,2,12,19,3,0.0,0.0,8.042553191489363,59.0,4.482566597487887,1.5957446808510638,9.765957446808512,1.148936170212766,4.595744680851064,8.617021276595745,1.875,9.191489361702128
2016,12360,2,1547059,1.0,15,15.0,4,9,0,2.0,0,92.66666666666667,92,47,38,15,2,7,12,0,34,7,1,3,383,351,0,0,7,6,82,145,10,0.0,0.3076923076923077,3.6906474820143886,128.0,3.877790843622894,1.1223021582733812,8.93525179856115,0.6798561151079137,1.1654676258992807,3.302158273381295,2.8333333333333335,4.5647482014388485
2016,12360,2,1547060,1.0,17,8.0,1,5,0,0.0,0,54.0,62,37,29,6,0,4,24,1,47,6,0,6,245,213,7,5,0,2,48,54,9,0.0,0.16666666666666666,4.833333333333334,98.0,3.903370379993797,1.5925925925925926,10.333333333333334,0.6666666666666666,4.0,7.833333333333333,1.9583333333333333,6.166666666666667
2016,12360,2,1659959,1.0,13,13.0,3,8,0,1.0,1,79.66666666666667,87,49,37,15,3,4,19,0,43,9,1,1,352,315,0,0,4,5,100,85,16,0.0,0.2727272727272727,4.179916317991632,113.0,3.6420965538664145,1.3305439330543933,9.828451882845187,0.45188284518828453,2.1464435146443512,4.857740585774058,2.263157894736842,5.535564853556485
2016,12360,2,1659965,1.0,16,3.0,1,2,0,0.0,0,29.666666666666668,40,31,23,8,1,4,14,1,27,2,1,3,143,125,6,4,1,1,30,27,10,0.0,0.3333333333333333,6.977528089887641,68.0,4.5650432888577175,1.8202247191011236,12.134831460674157,1.2134831460674156,4.247191011235955,8.191011235955056,1.9285714285714286,9.40449438202247
2016,12360,2,1659966,1.0,15,14.0,6,5,0,1.0,1,89.0,82,32,29,15,3,7,15,0,52,5,0,2,363,333,2,2,8,2,117,87,22,0.0,0.5454545454545454,2.9325842696629216,162.0,3.5425713787453574,1.0898876404494382,8.292134831460675,0.7078651685393258,1.5168539325842696,5.258426966292134,3.466666666666667,3.235955056179775
2016,12360,2,1659975,1.0,7,0.0,0,0,0,0.0,0,6.0,5,3,3,3,0,1,6,0,4,1,0,3,30,23,0,0,0,0,7,6,1,0.0,,4.5,105.0,7.347814824438242,1.8333333333333333,7.5,1.5,9.0,6.0,0.6666666666666666,4.5
2016,12360,2,1767869,1.0,13,0.0,0,0,0,0.0,0,13.666666666666666,15,8,8,3,1,2,5,0,5,4,1,1,65,54,3,2,1,1,15,18,1,0.0,,5.26829268292683,90.0,6.160822954519542,1.4634146341463414,9.878048780487806,1.3170731707317076,3.292682926829268,3.292682926829268,1.0,5.26829268292683
2016,12360,2,1767870,1.0,10,0.0,0,0,0,0.0,0,10.666666666666666,11,8,6,3,0,2,5,0,3,1,0,0,48,41,3,1,0,1,13,13,0,0.0,,5.0625,94.0,6.576981491104908,1.5,9.28125,1.6875,4.21875,2.53125,0.6,6.75
