season,season_id,school_id,stats_player_seq,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2014,11620,5,1218824,1.0,12,0.0,2,2,0,0.0,0,14.0,20,12,11,6,2,5,5,0,7,4,1,0,71,59,4,2,2,1,11,23,1,0.0,0.5,7.071428571428571,58.0,7.729467951679203,1.7857142857142858,12.857142857142858,3.2142857142857144,3.2142857142857144,4.5,1.4,7.7142857142857135
2014,11620,5,1218825,1.0,12,0.0,0,1,1,0.0,0,17.333333333333332,24,16,15,5,0,4,14,0,12,6,0,0,92,70,0,0,1,1,18,16,7,0.0,0.0,7.788461538461538,53.0,7.234962457173708,2.1923076923076925,12.461538461538463,2.076923076923077,7.269230769230769,6.230769230769232,0.8571428571428571,8.307692307692308
2014,11620,5,1218830,1.0,11,0.0,2,2,0,0.0,0,28.666666666666668,23,19,12,5,1,4,17,1,24,4,0,0,127,103,0,0,3,0,23,32,14,0.0,0.5,3.767441860465116,110.0,4.495248682576213,1.3953488372093024,7.220930232558139,1.255813953488372,5.337209302325581,7.534883720930232,1.411764705882353,5.965116279069767
2014,11620,5,1321037,1.0,16,0.0,1,1,0,0.0,0,38.333333333333336,37,21,21,8,2,4,16,0,31,9,2,0,169,141,10,4,1,2,29,44,9,0.0,0.5,4.930434782608695,84.0,3.8536915541636745,1.382608695652174,8.68695652173913,0.9391304347826086,3.7565217391304344,7.278260869565218,1.9375,4.930434782608695
2014,11620,5,1321050,1.0,12,0.0,4,5,0,0.0,0,64.66666666666667,77,37,29,12,0,9,22,1,48,4,2,0,290,254,0,0,6,4,87,48,16,0.0,0.4444444444444444,4.036082474226804,102.0,3.6889672153021773,1.5309278350515463,10.716494845360824,1.2525773195876286,3.0618556701030926,6.68041237113402,2.1818181818181817,5.149484536082474
2014,11620,5,1436915,1.0,3,0.0,0,0,0,0.0,0,3.0,1,0,0,0,0,2,1,0,2,0,0,0,12,11,0,0,0,0,3,4,0,0.0,,0.0,,10.491372713583965,0.6666666666666666,3.0,6.0,3.0,6.0,2.0,0.0
2014,11620,5,1436918,1.0,19,0.0,0,2,0,0.0,0,23.333333333333332,31,18,15,7,1,1,11,1,5,5,1,0,117,95,15,5,4,2,30,33,2,0.0,0.0,5.7857142857142865,71.0,4.3437536659649165,1.8,11.957142857142859,0.38571428571428573,4.242857142857143,1.9285714285714288,0.45454545454545453,6.942857142857143
2014,11620,5,1436920,1.0,14,0.0,3,5,0,0.0,0,71.66666666666667,74,37,32,8,5,11,37,1,45,5,2,1,322,268,0,0,10,2,90,63,8,0.0,0.375,4.018604651162791,103.0,4.655713798855282,1.5488372093023255,9.293023255813953,1.3813953488372093,4.6465116279069765,5.651162790697675,1.2162162162162162,4.6465116279069765
2014,11620,5,1436922,1.0,18,0.0,5,0,1,0.0,0,32.333333333333336,46,21,17,4,0,3,10,2,19,5,1,1,154,135,10,5,2,2,43,27,6,0.0,1.0,4.731958762886597,87.0,3.580719792621765,1.7319587628865978,12.804123711340205,0.8350515463917525,2.7835051546391747,5.288659793814432,1.9,5.845360824742267
2014,11620,5,1436923,1.0,15,0.0,6,4,0,0.0,1,91.0,103,35,28,22,2,3,21,0,28,5,3,1,389,356,0,0,5,2,81,143,9,0.0,0.6,2.769230769230769,149.0,2.828369050580301,1.3626373626373627,10.186813186813186,0.2967032967032967,2.076923076923077,2.769230769230769,1.3333333333333333,3.4615384615384617
