season,season_id,school_id,stats_player_seq,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HB,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2020,15204,2,1997675,2,0.0,0,0,0,0.0,0,1.6666666666666665,1,2,2,0,0,1,1,0,1,0,0,0,7,6,0,0,0,0,1,3,0,0.0,,10.8,1.2000000000000002,5.4,5.4,5.4,5.4,1.0,10.8
2020,15204,2,2133304,4,2.0,1,1,0,0.0,0,11.0,13,9,6,2,0,1,6,0,6,0,0,1,52,45,2,0,0,1,14,11,1,0.0,0.5,4.909090909090908,1.7272727272727273,10.636363636363637,0.8181818181818182,4.909090909090908,4.909090909090908,1.0,7.363636363636364
2020,15204,2,2347956,3,0.0,0,0,0,0.0,0,4.0,5,3,3,1,0,1,0,0,4,1,0,0,18,17,3,2,0,0,2,6,3,0.0,,6.75,1.25,11.25,2.25,0.0,9.0,,6.75
2020,15204,2,2347958,4,0.0,0,0,0,0.0,0,2.0,1,0,0,1,0,0,2,0,3,0,0,1,8,6,2,2,0,0,2,0,1,0.0,,0.0,1.5,4.5,0.0,9.0,13.5,1.5,0.0
2020,15204,2,2347963,5,0.0,0,0,1,0.0,0,6.333333333333333,6,3,2,1,0,1,0,0,3,0,1,0,27,27,1,0,0,0,9,7,0,0.0,,2.842105263157895,0.9473684210526316,8.526315789473685,1.4210526315789476,0.0,4.2631578947368425,,4.2631578947368425
2020,15204,2,2347964,1,0.0,0,0,0,0.0,0,1.0,2,2,2,0,0,0,1,0,1,0,1,3,6,5,0,0,0,0,1,1,1,0.0,,18.0,3.0,18.0,0.0,9.0,9.0,1.0,18.0
2020,15204,2,2347971,4,4.0,1,2,0,0.0,0,16.0,17,11,6,6,0,0,7,0,10,2,0,1,70,60,0,0,1,0,19,12,3,0.0,0.3333333333333333,3.375,1.5,9.5625,0.0,3.9375,5.625,1.4285714285714286,6.1875
2020,15204,2,2347972,5,0.0,0,0,0,0.0,0,7.333333333333333,4,3,3,1,0,1,4,0,8,2,0,2,31,25,2,1,0,0,10,3,4,0.0,,3.681818181818182,1.090909090909091,4.90909090909091,1.2272727272727275,4.90909090909091,9.81818181818182,2.0,3.681818181818182
2020,15204,2,2347976,4,0.0,0,0,1,0.0,0,10.666666666666666,12,7,6,2,1,0,4,0,9,1,0,0,49,42,3,3,0,2,10,12,1,0.0,,5.0625,1.5,10.125,0.0,3.375,7.59375,2.25,5.90625
2020,15204,2,2347977,4,0.0,1,2,0,0.0,0,18.333333333333332,14,9,4,2,2,2,1,0,22,2,0,1,77,74,0,0,0,0,13,18,8,0.0,0.3333333333333333,1.9636363636363638,0.8181818181818182,6.872727272727273,0.9818181818181819,0.49090909090909096,10.8,22.0,4.418181818181819
2020,15204,2,2347980,5,0.0,0,0,0,0.0,0,6.333333333333333,6,8,8,1,0,3,4,0,10,0,0,1,29,25,0,0,0,0,2,7,1,0.0,,11.36842105263158,1.5789473684210527,8.526315789473685,4.2631578947368425,5.68421052631579,14.210526315789474,2.5,11.36842105263158
2020,15204,2,2347982,5,0.0,0,0,0,0.0,0,6.666666666666666,10,5,4,5,0,0,3,0,5,0,0,3,33,30,5,3,0,0,6,8,1,0.0,,5.4,1.9500000000000002,13.500000000000002,0.0,4.050000000000001,6.750000000000001,1.6666666666666667,6.750000000000001
