season,season_id,school_id,stats_player_seq,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,PF,W-L%,ERA,ERA-,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2021,15580,2,1749271,1.0,26,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,102.36534625249358,,,,,,,,,,,
2021,15580,2,1997675,1.0,2,0.0,0,0,0,0.0,0,2.333333333333333,3,1,1,1,0,0,0,0,1,0,0,0,10,10,1,1,0,0,2,4,0,0.0,102.36534625249358,,3.8571428571428577,71.0,2.2127768030493056,1.2857142857142858,11.571428571428573,0.0,0.0,3.8571428571428577,,3.8571428571428577
2021,15580,2,1997699,1.0,56,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,102.36534625249358,,,,,,,,,,,
2021,15580,2,2117386,1.0,14,0.0,0,1,0,0.0,0,16.0,14,10,9,0,1,1,15,0,18,4,0,2,79,56,13,5,2,2,12,16,4,0.0,102.36534625249358,0.0,5.0625,93.0,5.194919660192163,1.8125,7.875,0.5625,8.4375,10.125,1.2,5.625
2021,15580,2,2133295,1.0,22,0.0,0,0,0,0.0,0,6.0,2,1,1,0,0,0,2,0,6,2,1,0,24,19,5,0,0,1,2,9,1,0.0,102.36534625249358,,1.5,28.0,3.069919660192163,0.6666666666666666,3.0,0.0,3.0,9.0,3.0,1.5
2021,15580,2,2133304,1.0,15,14.0,6,5,0,1.0,0,71.0,98,58,44,15,4,2,17,0,57,6,0,5,335,305,1,1,5,2,96,52,14,0.0,102.36534625249358,0.5454545454545454,5.577464788732394,103.0,2.802314026389346,1.619718309859155,12.422535211267604,0.2535211267605634,2.1549295774647885,7.225352112676057,3.3529411764705883,7.352112676056338
2021,15580,2,2136723,1.0,15,13.0,1,4,0,0.0,0,72.66666666666667,67,38,30,11,0,2,50,0,68,2,0,8,330,269,1,0,7,2,66,73,15,2.0,102.36534625249358,0.2,3.715596330275229,69.0,3.7029471831279426,1.6100917431192658,8.298165137614678,0.2477064220183486,6.192660550458715,8.422018348623853,1.36,4.706422018348624
2021,15580,2,2137687,1.0,49,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,102.36534625249358,,,,,,,,,,,
2021,15580,2,2347955,1.0,48,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,102.36534625249358,,,,,,,,,,,
2021,15580,2,2347956,1.0,15,15.0,7,2,0,2.0,1,69.33333333333333,83,64,54,17,2,9,37,0,47,6,1,12,330,282,0,0,3,2,85,63,14,0.0,102.36534625249358,0.7777777777777778,7.009615384615385,129.0,5.262227352499855,1.7307692307692308,10.774038461538463,1.1682692307692308,4.802884615384615,6.100961538461538,1.2702702702702702,8.307692307692308
