"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"02/24/2019","Johnson City, Tenn.",NA,"1","top","0-0","Wagner","ETSU","PECORA, A. doubled to center field (0-0)."
"02/24/2019","Johnson City, Tenn.",NA,"1","top","0-0","Wagner","ETSU","SILVESTRONE lined out to 2b (1-2 BKS)."
"02/24/2019","Johnson City, Tenn.",NA,"1","top","0-0","Wagner","ETSU","SABIDO, F. lined out to rf (0-0)."
"02/24/2019","Johnson City, Tenn.",NA,"1","top","1-0","Wagner","ETSU","SANFILLIPPO singled to center field, RBI (2-1 KBB) PECORA, A. scored."
"02/24/2019","Johnson City, Tenn.",NA,"1","top","1-0","Wagner","ETSU","JOHNSON, W. singled up the middle (1-0 B) SANFILLIPPO advanced to second."
"02/24/2019","Johnson City, Tenn.",NA,"1","top","1-0","Wagner","ETSU","CONNOLLY, S. reached on a fielders choice (1-2 SKBFF) JOHNSON, W. advanced to second SANFILLIPPO advanced to third."
"02/24/2019","Johnson City, Tenn.",NA,"1","top","1-0","Wagner","ETSU","LAUK, Eric struck out swinging (3-2 BBSSBS)."
"02/24/2019","Johnson City, Tenn.",NA,"1","bot","1-0","ETSU","Wagner","J. Lyle struck out swinging (0-2 FKS)."
"02/24/2019","Johnson City, Tenn.",NA,"1","bot","1-0","ETSU","Wagner","C. Smith doubled down the rf line (1-0 B)."
"02/24/2019","Johnson City, Tenn.",NA,"1","bot","1-0","ETSU","Wagner","J. Greer walked (3-1 KBBBB)."
"02/24/2019","Johnson City, Tenn.",NA,"1","bot","1-0","ETSU","Wagner","E. Cady reached on an error by ss (1-2 KFB) J. Greer advanced to second C. Smith advanced to third."
"02/24/2019","Johnson City, Tenn.",NA,"1","bot","1-1","ETSU","Wagner","C. Gilbert reached on a fielders choice, RBI (2-1 BFB) E. Cady advanced to second J. Greer out at third ss to 3b C. Smith scored, unearned."
"02/24/2019","Johnson City, Tenn.",NA,"1","bot","1-1","ETSU","Wagner","N. Hill struck out swinging (2-2 BBSKS)."
"02/24/2019","Johnson City, Tenn.",NA,"2","top","1-1","Wagner","ETSU","RUGGIERO, M. popped up to 1b (1-1 BK)."
"02/24/2019","Johnson City, Tenn.",NA,"2","top","1-1","Wagner","ETSU","KAMPES, J. flied out to rf (0-0)."
