"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"04/16/2021","Morgantown, W.Va.",NA,"1","top","0-0","Texas Tech","West Virginia","Murrell, E. reached on a fielding error by 3b (2-1 KBB)."
"04/16/2021","Morgantown, W.Va.",NA,"1","top","1-0","Texas Tech","West Virginia","Fulford, B. tripled to left center, RBI (0-2 KS) Murrell, E. scored, unearned."
"04/16/2021","Morgantown, W.Va.",NA,"1","top","2-0","Texas Tech","West Virginia","Jung, Ja. doubled to left field, RBI (2-1 BKB) Fulford, B. scored."
"04/16/2021","Morgantown, W.Va.",NA,"1","top","2-0","Texas Tech","West Virginia","Stilwell, C. flied out to cf (1-1 BK) Jung, Ja. advanced to third."
"04/16/2021","Morgantown, W.Va.",NA,"1","top","2-0","Texas Tech","West Virginia","Baker, D. walked (3-1 BKBBB)."
"04/16/2021","Morgantown, W.Va.",NA,"1","top","2-0","Texas Tech","West Virginia","Conley, C. struck out swinging (1-2 KKBFS)."
"04/16/2021","Morgantown, W.Va.",NA,"1","top","2-0","Texas Tech","West Virginia","Baker, D. stole second."
"04/16/2021","Morgantown, W.Va.",NA,"1","top","2-0","Texas Tech","West Virginia","Masters, C. struck out swinging (2-2 KBFBS)."
"04/16/2021","Morgantown, W.Va.",NA,"1","bot","2-0","West Virginia","Texas Tech","Doanes, T. flied out to cf (1-2 KKB)."
"04/16/2021","Morgantown, W.Va.",NA,"1","bot","2-0","West Virginia","Texas Tech","Kluska, M. grounded out to p (2-2 BKBF)."
"04/16/2021","Morgantown, W.Va.",NA,"1","bot","2-0","West Virginia","Texas Tech","Scott, V. struck out swinging (0-2 KFS)."
"04/16/2021","Morgantown, W.Va.",NA,"2","top","2-0","Texas Tech","West Virginia","Kelly, P. struck out swinging (1-2 KBSFS)."
"04/16/2021","Morgantown, W.Va.",NA,"2","top","2-0","Texas Tech","West Virginia","Carter, D. grounded out to ss (0-1 K)."
"04/16/2021","Morgantown, W.Va.",NA,"2","top","2-0","Texas Tech","West Virginia","Murrell, E. struck out swinging (1-2 FBKS)."
"04/16/2021","Morgantown, W.Va.",NA,"2","bot","2-0","West Virginia","Texas Tech","Byorick, H. walked (3-2 BKBBFB)."
"04/16/2021","Morgantown, W.Va.",NA,"2","bot","2-0","West Virginia","Texas Tech","McIntosh, P. reached on a fielders choice (0-1 S) Byorick, H. out at second 2b to ss."
"04/16/2021","Morgantown, W.Va.",NA,"2","bot","2-0","West Virginia","Texas Tech","Ippoliti, V. walked (3-2 BKFBFFBB) McIntosh, P. advanced to second."
"04/16/2021","Morgantown, W.Va.",NA,"2","bot","2-0","West Virginia","Texas Tech","McCormick, M walked (3-0 BBBB) Ippoliti, V. advanced to second McIntosh, P. advanced to third."
"04/16/2021","Morgantown, W.Va.",NA,"2","bot","2-0","West Virginia","Texas Tech","Brophy, K. struck out swinging (2-2 KFBBS)."
"04/16/2021","Morgantown, W.Va.",NA,"2","bot","2-0","West Virginia","Texas Tech","Davis, A. grounded out to p (0-2 FF)."
"04/16/2021","Morgantown, W.Va.",NA,"2","bot","2-0","West Virginia","Texas Tech","LOB: 3"
"04/16/2021","Morgantown, W.Va.",NA,"3","top","2-0","Texas Tech","West Virginia","Fulford, B. struck out looking (3-2 BKBSBK)."
"04/16/2021","Morgantown, W.Va.",NA,"3","top","2-0","Texas Tech","West Virginia","Jung, Ja. struck out looking (2-2 FBBFK)."
"04/16/2021","Morgantown, W.Va.",NA,"3","top","2-0","Texas Tech","West Virginia","Stilwell, C. grounded out to ss (1-1 BK)."
"04/16/2021","Morgantown, W.Va.",NA,"3","bot","2-0","West Virginia","Texas Tech","Doanes, T. struck out looking (1-2 KFBK)."
"04/16/2021","Morgantown, W.Va.",NA,"3","bot","2-0","West Virginia","Texas Tech","Kluska, M. grounded out to ss (0-2 FK)."
"04/16/2021","Morgantown, W.Va.",NA,"3","bot","2-0","West Virginia","Texas Tech","Scott, V. struck out swinging (3-2 SBKBBS)."
"04/16/2021","Morgantown, W.Va.",NA,"4","top","2-0","Texas Tech","West Virginia","Baker, D. grounded out to 3b (1-2 BFFF)."
"04/16/2021","Morgantown, W.Va.",NA,"4","top","2-0","Texas Tech","West Virginia","Conley, C. walked (3-1 BFBBB)."
"04/16/2021","Morgantown, W.Va.",NA,"4","top","3-0","Texas Tech","West Virginia","Masters, C. singled, out at second rf to 2b to 3b, on appeal, RBI (0-1 F) Conley, C. scored."
"04/16/2021","Morgantown, W.Va.",NA,"4","top","3-0","Texas Tech","West Virginia","Kelly, P. doubled to left field (2-2 BBSK)."
"04/16/2021","Morgantown, W.Va.",NA,"4","top","3-0","Texas Tech","West Virginia","Carter, D. flied out to cf (2-2 BBKS)."
"04/16/2021","Morgantown, W.Va.",NA,"4","bot","3-0","West Virginia","Texas Tech","Byorick, H. grounded out to ss (1-0 B)."
"04/16/2021","Morgantown, W.Va.",NA,"4","bot","3-0","West Virginia","Texas Tech","McIntosh, P. lined out to ss (1-1 FB)."
"04/16/2021","Morgantown, W.Va.",NA,"4","bot","3-0","West Virginia","Texas Tech","Ippoliti, V. struck out swinging (1-2 BKKS)."
"04/16/2021","Morgantown, W.Va.",NA,"5","top","3-0","Texas Tech","West Virginia","Murrell, E. walked (3-0 BBBB)."
"04/16/2021","Morgantown, W.Va.",NA,"5","top","5-0","Texas Tech","West Virginia","Fulford, B. homered to left field, 2 RBI (2-1 FBB) Murrell, E. scored."
"04/16/2021","Morgantown, W.Va.",NA,"5","top","5-0","Texas Tech","West Virginia","Jung, Ja. flied out to rf (0-1 K)."
"04/16/2021","Morgantown, W.Va.",NA,"5","top","5-0","Texas Tech","West Virginia","Stilwell, C. singled to center field (1-1 BF)."
"04/16/2021","Morgantown, W.Va.",NA,"5","top","5-0","Texas Tech","West Virginia","Baker, D. struck out swinging (2-2 BBFSS)."
"04/16/2021","Morgantown, W.Va.",NA,"5","top","5-0","Texas Tech","West Virginia","Conley, C. struck out looking (1-2 BSFK)."
"04/16/2021","Morgantown, W.Va.",NA,"5","bot","5-0","West Virginia","Texas Tech","McCormick, M singled through the left side (0-1 F)."
"04/16/2021","Morgantown, W.Va.",NA,"5","bot","5-0","West Virginia","Texas Tech","Brophy, K. reached on a fielders choice (1-2 KFB) McCormick, M out at second 1b to ss."
"04/16/2021","Morgantown, W.Va.",NA,"5","bot","5-0","West Virginia","Texas Tech","Davis, A. fouled out to 1b (0-1 F)."
"04/16/2021","Morgantown, W.Va.",NA,"5","bot","5-0","West Virginia","Texas Tech","Doanes, T. reached on a fielders choice (2-2 FBKFB) Brophy, K. out at second ss to 2b."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","5-0","Texas Tech","West Virginia","No play."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","5-0","Texas Tech","West Virginia","Masters, C. struck out looking (1-2 BKFK)."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","5-0","Texas Tech","West Virginia","Kelly, P. flied out to rf (3-0 BBB)."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","5-0","Texas Tech","West Virginia","Carter, D. reached on a throwing error by 2b (2-1 BBK)."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","5-0","Texas Tech","West Virginia","Murrell, E. singled through the left side (0-0) Carter, D. advanced to third."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","5-0","Texas Tech","West Virginia","Ouderkirk, D to p for Wolf, J.."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","5-0","Texas Tech","West Virginia","Murrell, E. advanced to second on a wild pitch."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","6-0","Texas Tech","West Virginia","Fulford, B. singled through the left side, RBI (0-1 S) Murrell, E. advanced to third Carter, D. scored, unearned."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","6-0","Texas Tech","West Virginia","No play."
"04/16/2021","Morgantown, W.Va.",NA,"6","top","6-0","Texas Tech","West Virginia","Jung, Ja. flied out to cf (1-1 FB)."
"04/16/2021","Morgantown, W.Va.",NA,"6","bot","6-0","West Virginia","Texas Tech","Kluska, M. flied out to lf (2-2 BFBS)."
"04/16/2021","Morgantown, W.Va.",NA,"6","bot","6-0","West Virginia","Texas Tech","Scott, V. grounded out to p, bunt (0-0)."
"04/16/2021","Morgantown, W.Va.",NA,"6","bot","6-0","West Virginia","Texas Tech","Byorick, H. grounded out to 3b (1-2 KKB)."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","6-0","Texas Tech","West Virginia","Stilwell, C. hit by pitch (0-0)."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","6-0","Texas Tech","West Virginia","Baker, D. reached on a fielders choice (1-2 BKKF) Stilwell, C. out at second 3b to 2b."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","6-0","Texas Tech","West Virginia","Baker, D. stole second."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","6-0","Texas Tech","West Virginia","Conley, C. walked (3-0 BBBB)."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","6-0","Texas Tech","West Virginia","Reed, C. to p for Ouderkirk, D."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","6-0","Texas Tech","West Virginia","Masters, C. struck out swinging (1-2 KFBS)."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","7-0","Texas Tech","West Virginia","Conley, C. advanced to second on a wild pitch Baker, D. advanced to third on a wild pitch, scored on a throwing error by c."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","7-0","Texas Tech","West Virginia","Conley, C. advanced to third on a wild pitch."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","7-0","Texas Tech","West Virginia","Kelly, P. walked (3-1 BBKBB)."
"04/16/2021","Morgantown, W.Va.",NA,"7","top","7-0","Texas Tech","West Virginia","Carter, D. struck out swinging (1-2 KSBS)."
"04/16/2021","Morgantown, W.Va.",NA,"7","bot","7-0","West Virginia","Texas Tech","McIntosh, P. doubled to left field (0-0)."
"04/16/2021","Morgantown, W.Va.",NA,"7","bot","7-0","West Virginia","Texas Tech","Ippoliti, V. struck out swinging (0-2 KFS)."
"04/16/2021","Morgantown, W.Va.",NA,"7","bot","7-0","West Virginia","Texas Tech","McCormick, M struck out looking (1-2 KBSK)."
"04/16/2021","Morgantown, W.Va.",NA,"7","bot","7-0","West Virginia","Texas Tech","Brophy, K. grounded out to 1b unassisted (0-0)."
"04/16/2021","Morgantown, W.Va.",NA,"8","top","7-0","Texas Tech","West Virginia","Murrell, E. struck out swinging (2-2 FFBBS)."
"04/16/2021","Morgantown, W.Va.",NA,"8","top","7-0","Texas Tech","West Virginia","Fulford, B. hit by pitch (0-0)."
"04/16/2021","Morgantown, W.Va.",NA,"8","top","7-0","Texas Tech","West Virginia","Jung, Ja. struck out swinging (2-2 BKFFBS)."
"04/16/2021","Morgantown, W.Va.",NA,"8","top","7-0","Texas Tech","West Virginia","Stilwell, C. walked (3-2 BSKBBB) Fulford, B. advanced to second."
"04/16/2021","Morgantown, W.Va.",NA,"8","top","7-0","Texas Tech","West Virginia","Baker, D. flied out to lf (0-2 FF)."
"04/16/2021","Morgantown, W.Va.",NA,"8","top","7-0","Texas Tech","West Virginia","LOB: 2"
"04/16/2021","Morgantown, W.Va.",NA,"8","bot","7-0","West Virginia","Texas Tech","Sanders, J. to p for Monteverde."
