"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"03/02/2019","Chapel Hill, N.C.",NA,"1","top","0-0","UMass Lowell","North Carolina","Tumosa struck out looking (1-2)."
"03/02/2019","Chapel Hill, N.C.",NA,"1","top","0-0","UMass Lowell","North Carolina","Marchena struck out looking (2-2)."
"03/02/2019","Chapel Hill, N.C.",NA,"1","top","0-0","UMass Lowell","North Carolina","Passatempo walked (3-1)."
"03/02/2019","Chapel Hill, N.C.",NA,"1","top","0-0","UMass Lowell","North Carolina","Climo grounded out to ss (1-0)."
"03/02/2019","Chapel Hill, N.C.",NA,"1","bot","0-0","North Carolina","UMass Lowell","Harris singled to center field (1-1)."
"03/02/2019","Chapel Hill, N.C.",NA,"1","bot","0-2","North Carolina","UMass Lowell","Busch homered, 2 RBI (2-1): Harris scored."
"03/02/2019","Chapel Hill, N.C.",NA,"1","bot","0-2","North Carolina","UMass Lowell","McGee flied out to lf (1-2)."
"03/02/2019","Chapel Hill, N.C.",NA,"1","bot","0-2","North Carolina","UMass Lowell","Freeman flied out to cf (1-1)."
"03/02/2019","Chapel Hill, N.C.",NA,"1","bot","0-2","North Carolina","UMass Lowell","Roberts grounded out to 2b (0-1)."
"03/02/2019","Chapel Hill, N.C.",NA,"2","top","0-2","UMass Lowell","North Carolina","Young, M struck out swinging (1-2)."
"03/02/2019","Chapel Hill, N.C.",NA,"2","top","0-2","UMass Lowell","North Carolina","McCaffrey struck out swinging (1-2)."
"03/02/2019","Chapel Hill, N.C.",NA,"2","top","0-2","UMass Lowell","North Carolina","Martin flied out to cf (0-1)."
"03/02/2019","Chapel Hill, N.C.",NA,"2","bot","0-2","North Carolina","UMass Lowell","Hesterlee singled to right field (2-1)."
"03/02/2019","Chapel Hill, N.C.",NA,"2","bot","0-2","North Carolina","UMass Lowell","Serretti struck out swinging (2-2)."
"03/02/2019","Chapel Hill, N.C.",NA,"2","bot","0-2","North Carolina","UMass Lowell","Schroeder singled to left center (0-1): Hesterlee advanced to second."
"03/02/2019","Chapel Hill, N.C.",NA,"2","bot","0-2","North Carolina","UMass Lowell","Tessar hit by pitch (3-2): Schroeder advanced to second: Hesterlee advanced to third."
