"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"03/09/2022","Winston-Salem, NC",NA,"1","top","0-0","George Mason","Wake Forest","S. Trimble grounded out to 3b (0-0)."
"03/09/2022","Winston-Salem, NC",NA,"1","top","0-0","George Mason","Wake Forest","C. Pracht grounded out to p (1-2)."
"03/09/2022","Winston-Salem, NC",NA,"1","top","0-0","George Mason","Wake Forest","D. Hosley walked (3-2)."
"03/09/2022","Winston-Salem, NC",NA,"1","top","0-0","George Mason","Wake Forest","D. Hosley out at first p to 1b, picked off."
"03/09/2022","Winston-Salem, NC",NA,"1","bot","0-0","Wake Forest","George Mason","Hawke, T. grounded out to ss (3-1)."
"03/09/2022","Winston-Salem, NC",NA,"1","bot","0-0","Wake Forest","George Mason","Turconi, M. flied out to lf (1-1)."
"03/09/2022","Winston-Salem, NC",NA,"1","bot","0-0","Wake Forest","George Mason","Wilken, B. reached on an error by ss (1-2)."
"03/09/2022","Winston-Salem, NC",NA,"1","bot","0-0","Wake Forest","George Mason","Cecere, A. flied out to lf (0-2)."
"03/09/2022","Winston-Salem, NC",NA,"1","bot","0-0","Wake Forest","George Mason","E: 1 LOB: 1"
"03/09/2022","Winston-Salem, NC",NA,"2","top","0-0","George Mason","Wake Forest","C. Dykstra doubled to right field (1-1)."
"03/09/2022","Winston-Salem, NC",NA,"2","top","0-0","George Mason","Wake Forest","C. Dykstra advanced to third on a wild pitch."
"03/09/2022","Winston-Salem, NC",NA,"2","top","0-0","George Mason","Wake Forest","K. Smith struck out swinging (2-2)."
"03/09/2022","Winston-Salem, NC",NA,"2","top","0-0","George Mason","Wake Forest","S. Morgan walked (3-1)."
"03/09/2022","Winston-Salem, NC",NA,"2","top","1-0","George Mason","Wake Forest","B. Ahalt flied out to cf, SAC, RBI (0-1)3a C. Dykstra scored."
"03/09/2022","Winston-Salem, NC",NA,"2","top","1-0","George Mason","Wake Forest","B. Stallings grounded out to 3b (0-2)."
"03/09/2022","Winston-Salem, NC",NA,"2","bot","1-0","Wake Forest","George Mason","Tinsman, B. grounded out to 3b (1-2)."
"03/09/2022","Winston-Salem, NC",NA,"2","bot","1-0","Wake Forest","George Mason","Corona, D. grounded out to 2b (2-1)."
"03/09/2022","Winston-Salem, NC",NA,"2","bot","1-0","Wake Forest","George Mason","Reinisch, J. grounded out to 1b unassisted (0-0)."
"03/09/2022","Winston-Salem, NC",NA,"3","top","1-0","George Mason","Wake Forest","Y. Hartigan grounded out to 1b unassisted (2-2)."
"03/09/2022","Winston-Salem, NC",NA,"3","top","1-0","George Mason","Wake Forest","S. Trimble hit by pitch (3-1)."
"03/09/2022","Winston-Salem, NC",NA,"3","top","1-0","George Mason","Wake Forest","C. Pracht grounded into double play ss to 2b to 1b (1-2)3a S. Trimble out on the play."
"03/09/2022","Winston-Salem, NC",NA,"3","bot","1-0","Wake Forest","George Mason","Kurtz, N. singled, bunt (0-1)."
"03/09/2022","Winston-Salem, NC",NA,"3","bot","1-0","Wake Forest","George Mason","Katz, C. singled to left field (2-0)3a Kurtz, N. advanced to second."
"03/09/2022","Winston-Salem, NC",NA,"3","bot","1-0","Wake Forest","George Mason","Katz, C. advanced to second on an error by p3a Kurtz, N. advanced to third on an error by p."
"03/09/2022","Winston-Salem, NC",NA,"3","bot","1-1","Wake Forest","George Mason","Hawke, T. singled to left field, RBI (2-2)3a Katz, C. advanced to third3a Kurtz, N. scored, unearned."
"03/09/2022","Winston-Salem, NC",NA,"3","bot","1-1","Wake Forest","George Mason","Hawke, T. stole second."
"03/09/2022","Winston-Salem, NC",NA,"3","bot","1-1","Wake Forest","George Mason","Turconi, M. popped up to ss (2-1)."
"03/09/2022","Winston-Salem, NC",NA,"3","bot","1-2","Wake Forest","George Mason","Wilken, B. flied out to lf, SAC, RBI (1-0)3a Katz, C. scored, unearned."
"03/09/2022","Winston-Salem, NC",NA,"3","bot","1-2","Wake Forest","George Mason","Cecere, A. struck out swinging (2-2)."
"03/09/2022","Winston-Salem, NC",NA,"3","bot","1-2","Wake Forest","George Mason","R: 2 H: 3 E: 1 LOB: 1"
"03/09/2022","Winston-Salem, NC",NA,"4","top","1-2","George Mason","Wake Forest","D. Hosley grounded out to ss (2-2)."
"03/09/2022","Winston-Salem, NC",NA,"4","top","1-2","George Mason","Wake Forest","C. Dykstra struck out swinging, out at first c to 1b (1-2)."
"03/09/2022","Winston-Salem, NC",NA,"4","top","1-2","George Mason","Wake Forest","K. Smith fouled out to rf (0-0)."
