App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,Pitches
1,,3.2,0.0,5,4,3,4,0,0,20,16,0,0,0,2,1,0,1,0,0,0,0,,3,7,0,0,0,1,0,,04/14/2019,away,14781,465,UNLV,9,True,4,9,-5,loss,4770286,630,2131172,2019,4 - 9,73.0
1,,6.0,0.0,7,4,4,2,5,0,28,24,0,0,0,0,0,1,0,0,0,1,0,,8,5,0,1,0,1,0,,04/20/2019,home,14781,96,Fresno St.,9,True,1,6,-5,loss,4776738,630,2131172,2019,1 - 6,0.0
1,,7.0,0.0,9,10,7,3,5,0,33,29,1,1,0,1,0,0,0,0,0,0,1,,6,9,0,1,0,1,1,,04/28/2019,away,14781,483,Nicholls,9,True,7,10,-3,loss,4783190,630,2131172,2019,7 - 10,114.0
1,,3.1,0.0,3,4,4,4,1,0,16,11,0,0,0,0,1,0,0,0,0,1,0,,3,5,0,1,0,1,0,,05/05/2019,away,14781,626,San Diego St.,9,True,8,10,-2,loss,4788321,630,2131172,2019,8 - 10,63.0
1,,1.2,0.0,2,0,0,1,1,0,9,7,0,0,0,0,1,1,0,0,0,0,0,,2,2,0,0,0,1,0,,05/12/2019,home,14781,466,Nevada,9,True,2,3,-1,loss,4791207,630,2131172,2019,2 - 3,36.0
1,,2.0,0.0,4,1,1,0,3,0,8,8,2,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,,05/18/2019,away,14781,721,Air Force,9,True,2,8,-6,loss,4792495,630,2131172,2019,2 - 8,21.0
1,,2.0,0.0,4,5,5,4,3,0,15,11,1,0,0,1,0,0,0,0,0,0,0,,0,3,0,1,0,1,1,,02/17/2019,away,14781,527,Oral Roberts,9,True,3,18,-15,loss,4707914,454,2119826,2019,3 - 18,58.0
1,,5.0,0.0,2,1,1,1,7,0,18,17,0,0,0,0,0,0,0,0,0,0,0,,3,5,0,0,0,1,2,,02/24/2019,home,14781,414,Miami (OH),9,True,7,5,2,win,4715624,454,2119826,2019,7 - 5,72.0
1,,3.0,0.0,5,2,0,2,2,0,17,13,0,0,0,0,0,1,0,0,0,0,1,,2,4,0,0,0,1,0,,03/02/2019,home,14781,299,Illinois St.,9,True,5,9,-4,loss,4720127,454,2119826,2019,5 - 9,72.0
1,,7.0,0.0,4,3,3,1,6,0,26,24,2,1,0,0,0,0,0,0,0,0,1,,8,6,1,0,0,1,1,,03/10/2019,home,14781,43,Austin Peay,9,True,11,3,8,win,4729934,454,2119826,2019,11 - 3,91.0
1,,7.0,0.0,2,0,0,3,4,0,25,22,0,0,0,0,0,0,0,0,0,0,0,,9,7,1,0,0,1,3,,03/16/2019,away,14781,201,Eastern Ill.,9,True,3,1,2,win,4737099,454,2119826,2019,3 - 1,88.0
1,,6.1,0.0,6,1,1,2,5,0,27,24,0,1,0,0,0,0,0,0,0,0,1,,3,10,0,0,0,1,2,,03/23/2019,home,14781,315,Jacksonville St.,9,True,2,4,-2,loss,4745169,454,2119826,2019,2 - 4,98.0
1,,5.0,0.0,8,6,6,1,10,0,24,23,0,1,0,2,1,0,0,0,0,0,0,,3,2,0,1,0,1,4,,04/06/2019,away,14781,692,Tennessee Tech,9,True,4,10,-6,loss,4761805,454,2119826,2019,4 - 10,101.0
1,,7.2,0.0,6,3,3,1,7,0,33,29,1,0,0,0,0,2,0,0,0,1,0,,6,9,1,0,0,1,2,,04/13/2019,home,14781,654,Southeast Mo. St.,9,True,6,5,1,win,4768113,454,2119826,2019,6 - 5,115.0
1,,7.0,0.0,3,1,1,3,5,0,29,25,1,0,0,0,0,1,0,0,0,0,0,,3,13,0,0,0,1,2,,04/20/2019,away,14781,14927,Belmont,9,True,3,4,-1,loss,4776192,454,2119826,2019,3 - 4,112.0
1,,4.0,0.0,6,7,3,3,1,0,22,18,1,0,0,2,0,0,0,0,0,1,0,,5,4,0,0,0,1,1,,04/27/2019,home,14781,202,Eastern Ky.,9,True,9,7,2,win,4782157,454,2119826,2019,9 - 7,88.0
1,,5.2,0.0,5,3,3,2,7,0,23,20,2,0,0,1,0,0,0,0,0,0,1,,2,7,0,0,0,1,1,,05/12/2019,home,14781,695,UT Martin,9,True,8,5,3,win,4791091,454,2119826,2019,8 - 5,89.0
1,,2.0,0.0,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,,1,4,0,0,0,2,1,,05/17/2019,away,14781,660,SIUE,9,True,7,4,3,win,4792211,454,2119826,2019,7 - 4,15.0
1,,4.0,0.0,4,3,2,4,2,0,19,14,1,0,0,1,1,0,0,0,0,1,0,,9,0,0,1,0,1,1,,05/22/2019,away,14781,14927,Belmont,9,True,1,8,-7,loss,4794529,454,2119826,2019,1 - 8,83.0
1,,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,,02/16/2019,home,14781,342,Lafayette,9,True,8,0,8,win,4707173,1068,1984395,2019,8 - 0,7.0
1,,1.0,0.0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,,02/17/2019,home,14781,342,Lafayette,9,True,5,1,4,win,4710605,1068,1984395,2019,5 - 1,11.0
1,,1.2,0.0,0,2,2,2,3,0,7,5,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,2,3,,02/19/2019,home,14781,490,NC State,9,True,0,5,-5,loss,4709754,1068,1984395,2019,0 - 5,38.0
1,,2.1,0.0,2,0,0,2,3,0,11,9,0,0,0,0,0,0,0,2,1,0,0,,2,2,0,0,0,3,2,,02/24/2019,away,14781,749,Wake Forest,9,True,6,3,3,win,4715508,1068,1984395,2019,6 - 3,49.0
1,,4.1,0.0,3,1,1,2,1,0,15,12,0,0,0,0,0,1,0,3,2,0,0,,2,6,1,0,0,3,0,,03/02/2019,home,14781,748,Wagner,9,True,10,6,4,win,4719860,1068,1984395,2019,10 - 6,72.0
1,,2.0,0.0,0,0,0,0,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,2,2,,03/09/2019,home,14781,81,Bryant,9,True,4,6,-2,loss,4727581,1068,1984395,2019,4 - 6,19.0
1,,1.0,0.0,2,1,1,0,1,0,5,4,1,0,0,0,0,0,0,0,0,1,0,,1,1,0,0,0,3,1,,03/10/2019,home,14781,81,Bryant,16,True,5,6,-1,loss,4730124,1068,1984395,2019,5 - 6,17.0
1,,0.2,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,,1,0,0,0,0,6,0,,03/12/2019,away,14781,459,UNC Greensboro,9,True,3,4,-1,loss,4735348,1068,1984395,2019,3 - 4,3.0
1,,1.1,0.0,1,2,2,2,0,0,7,4,0,0,0,0,1,1,0,0,0,0,0,,1,2,0,0,0,3,0,,03/16/2019,away,14781,769,Western Caro.,10,True,12,11,1,win,4737632,1068,1984395,2019,12 - 11,28.0
1,,0.0,0.0,2,3,3,2,0,0,4,2,2,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,5,0,,03/19/2019,home,14781,392,Maryland,9,True,4,11,-7,loss,4741574,1068,1984395,2019,4 - 11,14.0
1,,1.1,0.0,2,0,0,1,1,0,8,6,0,0,0,0,0,1,0,1,0,0,0,,1,2,0,0,0,3,0,,03/24/2019,away,14781,1014,Col. of Charleston,9,True,8,6,2,win,4747196,1068,1984395,2019,8 - 6,23.0
1,,0.2,0.0,2,1,1,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,,0,2,0,0,0,2,0,,03/29/2019,home,14781,317,James Madison,9,True,5,4,1,win,4752015,1068,1984395,2019,5 - 4,16.0
1,,2.0,0.0,0,0,0,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,,1,3,0,0,0,2,0,,03/31/2019,home,14781,317,James Madison,9,True,8,3,5,win,4754627,1068,1984395,2019,8 - 3,23.0
1,,1.0,0.0,0,1,1,0,0,0,5,2,0,0,0,0,0,1,0,2,2,2,0,,1,1,0,0,0,2,0,,04/06/2019,away,14781,711,Towson,9,True,3,7,-4,loss,4760724,1068,1984395,2019,3 - 7,11.0
1,,1.1,0.0,1,0,0,1,2,0,6,5,1,0,0,0,0,0,0,2,2,0,0,,0,2,0,0,0,3,0,,04/07/2019,away,14781,711,Towson,9,True,16,8,8,win,4763342,1068,1984395,2019,16 - 8,22.0
1,,1.0,0.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,2,0,0,0,2,0,,04/13/2019,home,14781,180,Delaware,9,True,12,1,11,win,4770356,1068,1984395,2019,12 - 1,13.0
1,,2.0,0.0,1,0,0,2,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,,3,2,0,0,0,2,0,,04/14/2019,home,14781,180,Delaware,9,True,6,0,6,win,4769871,1068,1984395,2019,6 - 0,30.0
1,,2.0,0.0,3,3,3,2,3,0,12,10,1,0,0,1,0,0,0,2,0,0,0,,2,1,0,0,0,3,0,,04/20/2019,away,14781,786,William & Mary,10,True,11,9,2,win,4776760,1068,1984395,2019,11 - 9,0.0
1,,3.0,0.0,4,1,1,0,1,0,12,11,0,0,0,0,0,1,0,0,0,0,0,,2,4,0,0,0,1,1,,04/23/2019,home,14781,459,UNC Greensboro,9,True,8,9,-1,loss,4778527,1068,1984395,2019,8 - 9,36.0
1,,2.0,0.0,1,0,0,2,0,0,7,5,1,0,0,0,1,0,0,0,0,0,0,,3,1,0,0,0,2,0,,04/26/2019,home,14781,500,Northeastern,9,True,6,5,1,win,4780982,1068,1984395,2019,6 - 5,39.0
1,,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,2,1,,04/27/2019,home,14781,500,Northeastern,9,True,4,2,2,win,4782424,1068,1984395,2019,4 - 2,10.0
1,,1.0,0.0,1,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,,1,2,0,0,1,2,0,,04/28/2019,home,14781,500,Northeastern,9,True,3,0,3,win,4783301,1068,1984395,2019,3 - 0,11.0
1,,2.0,0.0,2,0,0,2,3,0,10,8,0,0,0,0,0,0,0,0,0,0,0,,1,2,0,0,0,2,0,,05/03/2019,away,14781,283,Hofstra,9,True,6,3,3,win,4786353,1068,1984395,2019,6 - 3,42.0
1,,0.2,0.0,1,1,1,0,1,0,3,3,0,0,0,1,0,0,0,1,0,0,0,,0,1,0,0,0,2,1,,05/04/2019,away,14781,283,Hofstra,9,True,1,4,-3,loss,4787447,1068,1984395,2019,1 - 4,9.0
