App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
1,,1.0,0.0,1,0,0,2,1,0,6,4,1,0,0,0,1,0,0,0,0,0,0,,1,1,0,0,1,4,0,02/26/2021,away,15580,702,UT Arlington,9,True,5,2,3,win,5013163,676,2343984,2021,5 - 2,0.0,30.0
1,,1.0,0.0,0,0,0,2,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,1,4,0,03/20/2021,home,15580,474,New Orleans,9,True,5,4,1,win,5034680,676,2343984,2021,5 - 4,0.0,0.0
1,,1.0,0.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,5,0,03/21/2021,home,15580,474,New Orleans,9,True,5,3,2,win,5034684,676,2343984,2021,5 - 3,0.0,0.0
1,,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,1,5,1,03/26/2021,away,15580,402,McNeese,10,True,8,5,3,win,5037120,676,2343984,2021,8 - 5,0.0,13.0
1,,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,,0,1,1,0,0,3,0,03/27/2021,away,15580,402,McNeese,9,True,4,3,1,win,5039051,676,2343984,2021,4 - 3,0.0,2.0
1,,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,5,1,03/28/2021,away,15580,402,McNeese,9,True,2,0,2,win,5040321,676,2343984,2021,2 - 0,0.0,9.0
1,,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,,2,1,0,0,1,8,0,04/06/2021,home,15580,261,Grambling,9,True,10,8,2,win,5049476,676,2343984,2021,10 - 8,0.0,0.0
1,,1.0,0.0,1,3,3,4,0,0,8,2,0,0,0,0,0,0,1,0,0,1,1,,2,1,0,1,0,3,0,04/18/2021,home,15580,655,Southeastern La.,9,True,6,9,-3,loss,5061560,676,2343984,2021,6 - 9,0.0,33.0
1,,1.0,0.0,5,3,3,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,4,0,04/23/2021,away,15580,1004,Central Ark.,10,True,9,10,-1,loss,5063872,676,2343984,2021,9 - 10,0.0,26.0
1,,0.2,0.0,2,4,4,2,2,0,6,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,3,1,04/25/2021,away,15580,1004,Central Ark.,9,True,6,7,-1,loss,5066565,676,2343984,2021,6 - 7,0.0,30.0
