App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,pickoffs,score,Pitches
0,1.0,3.1,,6,5,3,3,4,0,19,15,0,0,0,0,0,0,0,0,0,0,1,76.0,4,2,0,1,0,1,1,03/14/2015,neutral,12080,530,Oswego St.,9,True,0,11,-11,loss,410059,238,1447422,2015,,,
0,1.0,5.0,,7,6,4,4,7,0,25,19,3,0,0,0,0,1,0,0,0,1,0,0.0,4,2,0,1,0,1,0,03/17/2015,neutral,12080,24,Amherst,9,True,4,6,-2,loss,410963,238,1447422,2015,,,
0,1.0,7.0,,7,2,2,1,4,0,30,27,4,0,0,0,0,2,0,0,0,0,0,0.0,10,5,1,0,0,1,0,03/21/2015,neutral,12080,713,Trinity (CT),9,True,14,5,9,win,411588,238,1447422,2015,,,
0,1.0,5.0,,2,0,0,3,6,0,20,17,1,0,0,0,0,0,0,0,0,0,0,0.0,5,4,1,0,0,1,2,03/25/2015,home,12080,24317,Lesley,9,True,19,0,19,win,412945,238,1447422,2015,,,
0,1.0,6.0,,6,2,1,2,2,0,25,22,1,0,0,0,0,0,0,0,0,1,0,0.0,10,4,0,1,0,1,0,04/04/2015,neutral,12080,227,Fitchburg St.,9,True,0,2,-2,loss,416210,238,1447422,2015,,,
0,1.0,5.1,,8,7,3,1,2,0,28,24,0,0,3,0,0,1,0,0,0,0,1,0.0,9,4,0,1,0,1,2,04/12/2015,neutral,12080,662,Southern Me.,9,True,8,12,-4,loss,418458,238,1447422,2015,,,
0,1.0,8.0,,11,4,2,1,1,0,39,36,4,0,0,0,0,0,0,0,0,0,2,0.0,13,9,1,0,0,1,1,04/17/2015,away,12080,548,Plymouth St.,9,True,13,5,8,win,419532,238,1447422,2015,,,
0,1.0,7.0,,8,2,1,2,7,0,31,28,1,0,0,1,0,1,0,0,0,0,0,0.0,6,6,1,0,0,1,5,04/24/2015,away,12080,170,Curry,9,True,7,2,5,win,421637,238,1447422,2015,,,
0,1.0,5.0,,8,2,2,2,3,0,24,20,1,0,0,0,1,0,0,0,0,1,1,0.0,8,3,0,0,0,1,1,04/29/2015,home,12080,484,Nichols,9,True,4,5,-1,loss,423148,238,1447422,2015,,,
0,1.0,7.1,,11,7,2,3,3,0,36,32,3,0,0,0,0,0,1,0,0,1,0,0.0,13,4,0,1,0,1,2,05/02/2015,neutral,12080,621,Salem St.,9,True,0,7,-7,loss,424051,238,1447422,2015,,,
0,0.0,0.2,,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0,4,2,02/14/2015,away,12080,102,Sacramento St.,9,True,3,10,-7,loss,405379,732,1418640,2015,,,
0,0.0,1.1,,3,2,2,0,2,0,7,7,1,0,0,0,0,0,0,0,0,0,0,24.0,2,0,0,0,0,2,0,02/16/2015,away,12080,102,Sacramento St.,9,True,7,8,-1,loss,405546,732,1418640,2015,,,
0,0.0,1.0,,0,1,1,3,1,0,7,2,0,0,0,1,0,1,0,0,0,0,1,0.0,0,2,0,0,0,3,0,02/20/2015,away,12080,328,Kansas,9,True,3,6,-3,loss,405852,732,1418640,2015,,,
0,0.0,2.0,,0,0,0,0,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,25.0,2,1,0,0,1,2,0,02/28/2015,away,12080,483,Nicholls,9,True,2,1,1,win,406893,732,1418640,2015,,,
0,0.0,1.0,,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,6.0,1,2,0,0,0,4,0,03/01/2015,away,12080,483,Nicholls,9,True,1,4,-3,loss,407087,732,1418640,2015,,,
0,0.0,1.1,,1,2,2,0,2,0,6,5,0,0,1,0,0,1,0,2,0,0,0,25.0,1,1,0,0,0,3,2,03/08/2015,away,12080,328,Kansas,9,True,8,4,4,win,408362,732,1418640,2015,,,
0,0.0,1.2,,1,0,0,1,3,0,7,6,0,0,0,0,0,0,0,2,1,0,0,30.0,1,1,0,0,1,3,0,03/14/2015,away,12080,29,Arizona,9,True,7,4,3,win,409772,732,1418640,2015,,,
0,0.0,0.2,,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,1,1,1,0,13.0,1,0,0,0,0,5,0,03/15/2015,away,12080,29,Arizona,9,True,9,8,1,win,410218,732,1418640,2015,,,
0,0.0,0.2,,3,1,1,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,4,0,03/22/2015,away,12080,110,UCLA,9,True,2,11,-9,loss,412257,732,1418640,2015,,,
0,0.0,3.2,,5,3,3,3,4,0,19,16,1,0,0,0,0,0,0,2,2,0,0,59.0,6,1,0,0,0,2,2,03/28/2015,home,12080,107,California,9,True,6,11,-5,loss,413374,732,1418640,2015,,,
0,0.0,0.1,,1,1,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,13.0,1,0,0,0,0,2,0,04/02/2015,home,12080,28,Arizona St.,12,True,3,5,-2,loss,414963,732,1418640,2015,,,
0,0.0,2.2,,4,2,2,0,4,0,12,12,1,0,0,0,0,0,0,0,0,0,0,42.0,2,2,0,0,0,2,1,04/04/2015,home,12080,28,Arizona St.,10,True,5,6,-1,loss,415615,732,1418640,2015,,,
0,0.0,0.1,,1,0,0,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,3,0,04/10/2015,home,12080,655,Southeastern La.,9,True,2,3,-1,loss,417072,732,1418640,2015,,,
0,0.0,1.1,,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,8.0,2,1,0,0,0,3,0,04/12/2015,home,12080,655,Southeastern La.,9,True,4,3,1,win,418101,732,1418640,2015,,,
0,0.0,0.1,,1,1,1,2,0,0,4,2,1,0,0,0,0,0,0,1,1,0,0,16.0,1,0,0,0,0,3,0,04/17/2015,away,12080,674,Stanford,9,True,6,10,-4,loss,419347,732,1418640,2015,,,
0,0.0,0.0,,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,14.0,0,0,0,0,0,4,0,04/21/2015,away,12080,77,BYU,9,True,6,7,-1,loss,420793,732,1418640,2015,,,
0,0.0,1.1,,0,0,0,3,0,0,6,3,0,0,0,1,0,0,0,2,0,0,0,18.0,2,0,0,0,0,2,0,04/24/2015,home,12080,754,Washington St.,9,True,3,10,-7,loss,421453,732,1418640,2015,,,
0,0.0,2.0,,1,1,1,2,0,0,9,6,1,0,0,0,0,0,0,0,0,0,1,38.0,1,5,0,0,0,4,0,05/01/2015,home,12080,657,Southern California,9,True,7,12,-5,loss,423378,732,1418640,2015,,,
0,0.0,1.0,,1,0,0,2,2,0,6,4,1,0,0,0,0,0,0,0,0,0,0,30.0,1,0,0,0,0,2,1,05/08/2015,away,12080,528,Oregon St.,9,True,0,3,-3,loss,424756,732,1418640,2015,,,
0,0.0,1.0,,1,0,0,0,2,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,4,1,05/12/2015,home,12080,77,BYU,9,True,6,16,-10,loss,425287,732,1418640,2015,,,
0,0.0,0.1,,0,2,2,2,1,0,3,1,0,0,0,0,0,0,1,1,0,0,0,12.0,0,0,0,0,0,2,0,05/16/2015,home,12080,529,Oregon,9,True,5,8,-3,loss,425806,732,1418640,2015,,,
0,1.0,6.0,,2,2,2,0,6,0,22,20,1,0,0,1,0,1,0,0,0,0,1,0.0,3,8,1,0,0,1,2,03/15/2015,neutral,12080,577,Ripon,9,True,7,2,5,win,410492,19,1543888,2015,,,
0,1.0,7.0,,4,1,1,0,6,0,25,24,0,0,1,0,0,1,0,0,0,0,0,69.0,5,9,1,0,0,1,2,03/20/2015,neutral,12080,69,Bowdoin,9,True,3,1,2,win,411561,19,1543888,2015,,,
0,1.0,7.0,,4,2,0,1,5,0,29,21,0,1,0,0,0,4,1,0,0,2,0,95.0,5,9,0,0,0,1,1,03/29/2015,neutral,12080,807,Wooster,9,True,2,3,-1,loss,414285,19,1543888,2015,,,
0,1.0,8.0,,8,4,3,0,4,0,33,30,1,1,0,0,1,0,0,0,0,1,2,0.0,13,7,0,1,0,1,0,04/04/2015,away,12080,122,CWRU,9,True,0,4,-4,loss,415768,19,1543888,2015,,,
0,1.0,7.0,,5,1,1,1,7,0,27,25,2,1,0,0,0,1,0,0,0,0,0,0.0,3,10,1,0,0,1,1,04/11/2015,neutral,12080,281,Hiram,9,True,5,1,4,win,417913,19,1543888,2015,,,
0,1.0,5.0,,5,6,6,3,3,0,25,20,2,0,1,1,0,2,0,0,0,0,0,79.0,6,6,0,0,0,1,0,04/18/2015,away,12080,515,Oberlin,9,True,10,7,3,win,420243,19,1543888,2015,,,
0,1.0,7.0,,6,2,2,4,4,0,30,26,2,0,0,0,1,0,0,0,0,0,0,108.0,10,5,0,0,0,1,1,05/02/2015,home,12080,182,Denison,9,True,6,7,-1,loss,423853,19,1543888,2015,,,
0,1.0,6.0,,7,2,2,2,3,0,26,24,3,0,0,0,0,0,0,0,0,0,0,98.0,7,7,0,0,0,1,0,05/06/2015,neutral,12080,515,Oberlin,9,True,6,7,-1,loss,424548,19,1543888,2015,,,
0,0.0,1.0,,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,3,0,03/04/2015,home,12080,269,Hampden-Sydney,9,True,5,4,1,win,407459,745,1551254,2015,,,
0,0.0,1.0,,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,4,0,03/08/2015,away,12080,1112,Guilford,9,True,13,1,12,win,408424,745,1551254,2015,,,
0,0.0,2.0,,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0.0,2,3,0,0,0,3,0,03/08/2015,away,12080,1112,Guilford,9,True,8,4,4,win,408470,745,1551254,2015,,,
0,0.0,1.0,,1,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,5,0,03/11/2015,home,12080,394,Marymount (VA),9,True,5,6,-1,loss,409153,745,1551254,2015,,,
0,0.0,1.0,,2,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,0,0,0,3,0,03/15/2015,home,12080,75,Bridgewater (VA),9,True,7,1,6,win,410260,745,1551254,2015,,,
0,0.0,1.0,,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,4,0,03/15/2015,home,12080,75,Bridgewater (VA),9,True,5,3,2,win,410412,745,1551254,2015,,,
0,0.0,1.0,,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,0,0,0,4,0,03/17/2015,away,12080,269,Hampden-Sydney,9,True,4,5,-1,loss,410828,745,1551254,2015,,,
0,0.0,1.0,,1,1,1,0,1,0,4,3,1,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,0,0,4,0,03/22/2015,away,12080,374,Lynchburg,9,True,7,3,4,win,412453,745,1551254,2015,,,
0,0.0,1.0,,1,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,4,0,03/28/2015,home,12080,216,Emory & Henry,9,True,6,4,2,win,413520,745,1551254,2015,,,
0,0.0,1.0,,3,2,2,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,0.0,2,1,0,0,0,3,0,04/04/2015,away,12080,637,Shenandoah,9,True,2,7,-5,loss,416065,745,1551254,2015,,,
0,0.0,1.0,,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,3,1,04/05/2015,away,12080,752,Wash. & Lee,9,True,8,1,7,win,416316,745,1551254,2015,,,
0,0.0,1.0,,1,0,0,0,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0.0,0,2,0,0,0,4,0,04/05/2015,away,12080,752,Wash. & Lee,9,True,14,4,10,win,416337,745,1551254,2015,,,
0,1.0,4.0,,7,5,5,1,0,0,20,19,1,0,0,1,0,0,0,0,0,0,0,0.0,4,8,0,0,0,1,0,04/08/2015,away,12080,565,Randolph-Macon,9,True,5,6,-1,loss,416783,745,1551254,2015,,,
0,0.0,1.0,,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,3,0,04/11/2015,home,12080,578,Roanoke,9,True,5,1,4,win,417490,745,1551254,2015,,,
0,0.0,1.1,,1,0,0,0,2,0,6,6,0,0,0,0,0,0,0,3,3,0,0,0.0,1,1,0,0,0,4,0,04/11/2015,home,12080,578,Roanoke,9,True,10,6,4,win,417750,745,1551254,2015,,,
0,0.0,1.0,,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,3,0,04/18/2015,home,12080,203,East. Mennonite,9,True,8,0,8,win,419690,745,1551254,2015,,,
0,0.0,1.0,,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,3,1,04/23/2015,neutral,12080,578,Roanoke,9,True,11,3,8,win,421331,745,1551254,2015,,,
0,0.0,3.0,,5,4,4,2,1,0,17,14,0,1,0,0,0,1,0,0,0,0,0,0.0,2,5,1,0,0,2,0,04/26/2015,neutral,12080,637,Shenandoah,9,True,9,8,1,win,422679,745,1551254,2015,,,
0,0.0,4.0,,3,0,0,0,4,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0.0,2,5,1,0,0,2,1,02/11/2015,neutral,12080,269,Hampden-Sydney,9,True,5,3,2,win,404717,394,1541047,2015,,,
0,0.0,3.2,,5,6,3,0,6,0,17,16,3,0,0,1,0,0,0,0,0,0,1,0.0,1,4,0,0,0,5,0,03/08/2015,neutral,12080,139,Chris. Newport,9,True,13,19,-6,loss,408593,394,1541047,2015,,,
0,1.0,3.2,,5,5,2,2,1,0,18,15,1,1,0,0,0,0,0,0,0,1,0,0.0,5,4,0,1,0,1,1,03/12/2015,away,12080,44,Averett,9,True,4,11,-7,loss,409294,394,1541047,2015,,,
0,0.0,5.1,,2,0,0,0,2,0,20,19,1,0,0,0,0,1,0,0,0,0,0,0.0,9,5,1,0,0,2,0,03/18/2015,home,12080,243,Frostburg St.,9,True,3,1,2,win,411201,394,1541047,2015,,,
0,1.0,1.2,,7,7,7,2,2,0,14,12,2,0,1,0,0,0,0,0,0,0,0,42.0,0,3,0,0,0,1,0,03/25/2015,away,12080,622,Salisbury,9,True,12,16,-4,loss,412885,394,1541047,2015,,,
0,0.0,3.2,,4,2,2,3,3,0,17,13,0,0,0,1,0,0,0,1,0,1,0,0.0,7,0,0,0,0,2,0,04/06/2015,away,12080,815,York (PA),9,True,10,5,5,win,416459,394,1541047,2015,,,
0,0.0,1.0,,3,1,1,0,1,0,6,5,0,0,0,0,0,0,0,2,2,1,0,21.0,2,0,0,0,0,2,0,04/11/2015,away,12080,611,St. Mary's (MD),9,True,9,4,5,win,417930,394,1541047,2015,,,
0,0.0,0.1,,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0.0,0,1,0,0,0,2,0,04/15/2015,away,12080,390,Mary Washington,9,True,7,12,-5,loss,418991,394,1541047,2015,,,
0,1.0,5.0,,4,0,0,3,8,0,21,18,0,0,0,1,0,0,0,0,0,0,0,103.0,1,5,1,0,0,1,3,02/14/2015,home,12080,617,Saint Peter's,9,True,12,0,12,win,405031,26172,1314553,2015,,,
0,1.0,7.0,,5,5,5,0,6,0,28,25,2,0,2,1,0,2,0,0,0,1,0,101.0,7,8,0,1,0,1,2,02/21/2015,home,12080,434,Missouri,9,True,1,5,-4,loss,405887,26172,1314553,2015,,,
0,0.0,2.0,,2,1,1,1,4,0,9,8,0,0,0,0,0,0,0,0,0,0,0,42.0,1,1,0,0,0,2,2,03/03/2015,home,12080,706,UTSA,9,True,3,4,-1,loss,407353,26172,1314553,2015,,,
0,0.0,2.0,,1,0,0,0,4,0,7,7,1,0,0,0,0,0,0,0,0,0,0,31.0,0,2,0,0,0,2,3,03/11/2015,home,12080,0,Fisher,9,True,3,0,3,win,409159,26172,1314553,2015,,,
0,1.0,7.0,,1,0,0,1,12,0,23,22,0,0,0,0,1,0,0,0,0,0,0,101.0,7,1,1,0,0,1,2,03/14/2015,away,12080,483,Nicholls,9,True,4,0,4,win,409955,26172,1314553,2015,,,
0,1.0,5.2,,6,5,5,3,9,0,27,22,1,0,0,0,0,1,0,0,0,1,0,113.0,5,3,0,1,0,1,2,03/20/2015,home,12080,655,Southeastern La.,9,True,4,7,-3,loss,411502,26172,1314553,2015,,,
0,1.0,8.0,,6,2,2,2,13,0,32,28,0,0,0,0,0,0,0,0,0,2,0,124.0,5,6,1,0,0,1,7,03/28/2015,home,12080,676,SFA,9,True,4,3,1,win,413441,26172,1314553,2015,,,
0,1.0,7.0,,6,3,3,0,11,0,26,25,1,0,1,1,0,1,0,0,0,0,0,98.0,4,4,1,0,0,1,2,04/03/2015,away,12080,346,Lamar University,9,True,12,3,9,win,415356,26172,1314553,2015,,,
0,0.0,1.1,,2,1,1,0,1,0,5,5,1,0,0,1,0,0,0,2,0,0,0,20.0,2,0,1,0,0,2,0,04/07/2015,away,12080,536,UTRGV,9,True,14,7,7,win,416687,26172,1314553,2015,,,
0,1.0,7.0,,3,0,0,2,10,0,25,23,0,0,0,0,0,0,0,0,0,0,0,109.0,6,4,1,0,0,1,2,04/11/2015,home,12080,2,Abilene Christian,9,True,12,2,10,win,417234,26172,1314553,2015,,,
0,1.0,6.0,,7,3,3,0,5,0,25,25,0,0,0,0,0,0,0,0,0,0,0,90.0,6,7,1,0,0,1,1,04/18/2015,away,12080,474,New Orleans,9,True,10,4,6,win,419623,26172,1314553,2015,,,
0,1.0,7.0,,10,4,1,0,12,0,32,30,3,0,0,2,0,1,0,0,0,0,1,122.0,3,6,0,1,0,1,0,04/25/2015,home,12080,508,Northwestern St.,9,True,3,6,-3,loss,421692,26172,1314553,2015,,,
0,1.0,7.2,,6,2,2,3,5,0,31,27,0,0,0,0,0,1,0,0,0,0,0,105.0,6,10,1,0,0,1,0,05/02/2015,away,12080,624,Sam Houston,9,True,4,2,2,win,423688,26172,1314553,2015,,,
0,1.0,6.0,,3,3,3,5,5,0,28,22,1,0,1,0,0,1,0,0,0,0,0,112.0,4,9,0,1,0,1,1,05/08/2015,away,12080,2743,UIW,9,True,1,6,-5,loss,424769,26172,1314553,2015,,,
0,1.0,7.2,,5,2,2,2,3,0,32,29,3,0,0,0,0,1,0,0,0,0,0,0.0,10,10,1,0,0,1,0,05/20/2015,neutral,12080,655,Southeastern La.,9,True,4,2,2,win,426025,26172,1314553,2015,,,
0,0.0,1.1,,3,1,0,0,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,4,0,05/23/2015,neutral,12080,624,Sam Houston,9,True,2,3,-1,loss,426268,26172,1314553,2015,,,
0,0.0,0.1,,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,4,0,02/20/2015,neutral,12080,464,Omaha,9,True,1,6,-5,loss,405821,136,1530866,2015,,,
0,0.0,3.0,,2,1,0,0,4,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,1,4,1,02/22/2015,neutral,12080,464,Omaha,9,True,6,4,2,win,406296,136,1530866,2015,,,
