App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
1,,4.1,,4,3,3,1,5,0,18,17,1,0,0,1,0,0,0,0,0,0,0,,3,4,0,0,0,1,2,02/18/2012,home,10942,725,Army West Point,9,True,8,5,3,win,755958,19651,1314622,2012,8 - 5,,77.0
1,,5.0,,1,2,2,1,4,0,17,16,0,0,1,0,0,0,0,0,0,0,0,,3,8,0,1,0,1,0,02/25/2012,home,10942,175,Dayton,9,True,2,10,-8,loss,757259,19651,1314622,2012,2 - 10,,49.0
1,,0.0,,2,2,2,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,04/15/2012,home,10942,1320,Presbyterian,9,True,2,7,-5,loss,772761,19651,1314622,2012,2 - 7,,24.0
1,,6.2,,2,2,2,3,6,0,24,20,0,0,0,0,0,1,0,0,0,0,0,,9,3,1,0,0,1,3,02/17/2012,home,10942,315,Jacksonville St.,9,True,4,2,2,win,755550,508,1219312,2012,4 - 2,,0.0
1,,6.0,,7,4,2,1,10,0,28,27,2,0,0,0,0,0,0,0,0,0,0,,5,2,0,1,0,1,7,02/24/2012,home,10942,665,Southern U.,9,True,3,5,-2,loss,756687,508,1219312,2012,3 - 5,,0.0
1,,4.1,,3,4,4,5,3,0,21,15,0,0,0,1,0,0,0,0,0,1,0,,8,2,0,1,0,1,1,03/02/2012,home,10942,669,Missouri St.,9,True,3,8,-5,loss,758127,508,1219312,2012,3 - 8,,0.0
1,,3.1,,1,1,0,0,7,0,13,11,0,0,0,0,0,1,0,3,0,0,1,,1,2,0,0,0,3,4,03/07/2012,away,10942,665,Southern U.,9,True,9,3,6,win,759739,508,1219312,2012,9 - 3,,0.0
1,,1.2,,1,0,0,0,1,0,6,6,0,0,0,0,1,0,0,0,0,0,0,,2,2,0,0,0,2,1,03/10/2012,home,10942,402,McNeese,9,True,1,4,-3,loss,760837,508,1219312,2012,1 - 4,,27.0
1,,1.0,,2,1,1,0,1,0,5,5,0,0,0,1,0,0,0,0,0,0,0,,2,0,0,0,0,7,1,03/14/2012,away,10942,365,LSU,9,True,0,13,-13,loss,761947,508,1219312,2012,0 - 13,,16.0
1,,2.1,,0,0,0,0,4,0,9,9,0,0,0,0,0,0,0,1,0,0,0,,2,1,0,0,0,2,3,03/16/2012,away,10942,706,UTSA,9,True,9,4,5,win,762386,508,1219312,2012,9 - 4,,33.0
1,,2.1,,2,1,1,0,2,0,9,9,0,0,0,0,1,0,0,1,0,0,0,,4,1,1,0,0,2,1,03/23/2012,home,10942,346,Lamar University,9,True,7,5,2,win,764479,508,1219312,2012,7 - 5,,42.0
1,,1.0,,1,0,0,0,1,0,5,4,1,0,0,0,0,0,0,2,2,1,0,,1,1,0,0,0,5,0,03/25/2012,home,10942,346,Lamar University,9,True,10,5,5,win,765571,508,1219312,2012,10 - 5,,10.0
1,,1.2,,2,1,1,1,3,0,8,7,0,0,0,0,0,0,0,2,2,0,0,,1,1,0,0,0,3,2,03/27/2012,away,10942,366,Louisiana Tech,9,True,2,8,-6,loss,766122,508,1219312,2012,2 - 8,,43.0
1,,2.2,,1,0,0,0,1,0,7,7,0,0,0,0,0,0,0,2,0,0,0,,3,2,1,0,0,2,1,03/31/2012,home,10942,676,SFA,9,True,4,2,2,win,767623,508,1219312,2012,4 - 2,,21.0
