App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
1,0.0,1.0,0.0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,10.0,1,0,0,0,0,2,0,03/05/2021,home,15580,228,Florida A&M,9,True,5,1,4,win,5015470,235,2305251,2021,5 - 1,0.0,
1,0.0,1.2,0.0,2,0,0,0,0,0,7,6,0,0,0,0,0,1,0,1,0,0,0,15.0,1,3,1,0,0,4,0,03/10/2021,home,15580,678,Stetson,9,True,10,7,3,win,5020870,235,2305251,2021,10 - 7,0.0,
1,0.0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,11.0,1,1,0,0,0,3,1,03/13/2021,home,15580,316,Jacksonville,9,True,9,0,9,win,5024733,235,2305251,2021,9 - 0,0.0,
1,0.0,1.0,0.0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,7.0,1,1,0,0,0,3,0,03/18/2021,home,15580,697,Texas A&M,9,True,13,4,9,win,5029204,235,2305251,2021,13 - 4,0.0,
1,0.0,0.2,0.0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,1,9.0,0,2,0,0,0,4,0,03/27/2021,away,15580,648,South Carolina,9,True,1,4,-3,loss,5039377,235,2305251,2021,1 - 4,0.0,
1,0.0,1.0,0.0,1,0,0,1,2,0,4,3,1,0,0,0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,3,1,03/28/2021,away,15580,648,South Carolina,9,True,5,8,-3,loss,5040002,235,2305251,2021,5 - 8,0.0,
1,0.0,1.0,0.0,3,4,2,0,1,0,8,8,1,0,0,1,0,0,0,0,0,0,0,29.0,0,2,0,0,0,3,1,04/06/2021,home,15580,678,Stetson,9,True,7,6,1,win,5048777,235,2305251,2021,7 - 6,0.0,
1,0.0,0.1,0.0,1,2,2,1,1,0,4,2,0,1,0,0,0,1,0,2,2,0,0,14.0,0,0,0,0,0,3,0,04/20/2021,away,15580,316,Jacksonville,9,True,8,7,1,win,5067619,235,2305251,2021,8 - 7,0.0,
1,1.0,4.0,0.0,1,0,0,1,2,0,13,12,0,0,0,0,1,0,0,0,0,0,0,50.0,5,4,0,0,0,1,0,05/11/2021,away,15580,678,Stetson,9,True,1,6,-5,loss,5077517,235,2305251,2021,1 - 6,0.0,
1,0.0,1.0,0.0,1,0,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,22.0,0,2,0,0,0,4,0,05/22/2021,away,15580,31,Arkansas,9,True,3,9,-6,loss,5081143,235,2305251,2021,3 - 9,0.0,
1,1.0,3.2,0.0,5,3,3,4,4,0,19,14,1,0,0,0,1,0,1,0,0,1,0,72.0,3,3,0,1,0,1,1,05/29/2021,home,15580,694,Tennessee,9,True,0,4,-4,loss,5082296,235,2305251,2021,0 - 4,0.0,
1,0.0,0.2,0.0,7,7,7,1,1,0,10,9,1,0,0,2,1,0,0,1,1,0,0,47.0,1,0,0,0,0,4,0,06/05/2021,away,15580,646,South Alabama,9,True,1,19,-18,loss,5083074,235,2305251,2021,1 - 19,0.0,
1,1.0,5.2,0.0,1,2,2,2,7,0,21,17,1,0,0,0,0,2,0,0,0,0,0,86.0,4,5,1,0,0,1,1,02/21/2021,home,15580,488,N.C. A&T,9,True,14,2,12,win,5004515,1014,2345675,2021,14 - 2,0.0,
