date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season,Pitches
05/18/2017,away,12560,129,Central Mich.,9,True,5,4,1,win,5 - 4,226757,47,0,0.0,1.1,0.0,0,0,0,1,3,0,5,4,0,0,0,0,0,0,0,3,0,0,0,23.0,0,1,0,0,1,3,1,,1639833,2017,
05/24/2017,home,12560,519,Ohio,9,True,3,4,-1,loss,3 - 4,227341,47,0,0.0,0.2,0.0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,2,1,0,0,11.0,1,0,0,0,0,4,1,,1639833,2017,
05/25/2017,home,12560,709,Toledo,9,True,5,15,-10,loss,5 - 15,227405,47,0,0.0,1.0,0.0,1,2,2,0,1,0,6,4,0,0,0,0,0,2,0,1,0,0,0,23.0,2,0,0,0,0,5,0,,1639833,2017,
02/25/2017,away,12560,231,FIU,12,True,6,7,-1,loss,6 - 7,207396,331,0,0.0,0.2,0.0,0,0,0,0,1,0,4,2,0,0,0,0,0,2,0,3,0,0,0,16.0,0,1,0,0,0,3,1,,1660946,2017,
02/26/2017,away,12560,231,FIU,9,True,3,2,1,win,3 - 2,207782,331,0,0.0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,2,0,0,0,4.0,0,0,0,0,0,2,0,,1660946,2017,
03/11/2017,away,12560,1014,Col. of Charleston,9,True,7,10,-3,loss,7 - 10,210537,331,0,0.0,1.2,0.0,1,0,0,0,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,27.0,1,0,0,0,0,3,3,,1660946,2017,
03/18/2017,away,12560,769,Western Caro.,9,True,16,10,6,win,16 - 10,212065,331,0,0.0,1.1,0.0,4,4,4,1,1,0,10,8,0,0,0,1,0,1,0,1,0,0,0,36.0,2,1,0,0,0,3,1,,1660946,2017,
03/21/2017,home,12560,545,Pittsburgh,9,True,7,6,1,win,7 - 6,213065,331,0,0.0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,4,0,,1660946,2017,
04/01/2017,home,12560,86,Buffalo,9,True,9,1,8,win,9 - 1,215559,331,0,0.0,1.0,0.0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,2,1,,1660946,2017,
04/19/2017,away,12560,545,Pittsburgh,9,True,12,8,4,win,12 - 8,220917,331,0,0.0,1.2,0.0,1,1,1,1,3,0,7,5,0,0,0,0,0,0,0,0,0,1,0,28.0,1,1,0,0,0,4,1,,1660946,2017,
04/21/2017,home,12560,709,Toledo,15,True,1,0,1,win,1 - 0,221296,331,0,0.0,2.0,0.0,2,0,0,0,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,31.0,1,2,0,0,0,2,0,,1660946,2017,
04/25/2017,home,12560,71,Bowling Green,9,True,3,0,3,win,3 - 0,222703,331,0,0.0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,6.0,0,0,0,0,1,5,1,,1660946,2017,
04/28/2017,home,12560,129,Central Mich.,9,True,9,7,2,win,9 - 7,223205,331,0,0.0,1.0,0.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,19.0,1,1,0,0,1,3,0,,1660946,2017,
04/29/2017,home,12560,129,Central Mich.,9,True,4,7,-3,loss,4 - 7,223570,331,0,0.0,0.2,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,4.0,2,0,0,0,0,3,0,,1660946,2017,
05/03/2017,away,12560,116,Canisius,9,True,8,5,3,win,8 - 5,224582,331,0,0.0,1.2,0.0,1,0,0,0,3,0,6,6,0,0,0,0,0,0,0,2,1,0,0,0.0,2,0,1,0,0,4,1,,1660946,2017,
05/26/2017,home,12560,709,Toledo,9,True,6,3,3,win,6 - 3,227495,331,0,0.0,1.0,0.0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,2,0,0,0,15.0,0,0,0,0,1,4,1,,1660946,2017,
02/25/2017,away,12560,26172,A&M-Corpus Christi,9,True,9,0,9,win,9 - 0,207201,434,0,0.0,0.1,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,4,1,,1643147,2017,
03/21/2017,home,12560,32,Little Rock,9,True,11,8,3,win,11 - 8,213058,434,0,1.0,4.0,0.0,4,4,2,1,4,0,18,16,1,0,0,0,1,1,0,0,0,0,0,83.0,6,1,1,0,0,1,0,,1643147,2017,
04/02/2017,home,12560,235,Florida,9,True,1,2,-1,loss,1 - 2,216146,434,0,1.0,5.0,0.0,3,2,2,2,3,0,18,16,1,0,0,1,0,0,0,0,0,0,0,74.0,8,2,0,1,0,1,1,,1643147,2017,
04/08/2017,home,12560,257,Georgia,9,True,6,1,5,win,6 - 1,217365,434,0,1.0,6.0,0.0,2,1,1,4,6,0,24,17,0,0,0,0,2,1,0,0,0,1,1,0.0,7,4,1,0,0,1,1,,1643147,2017,
04/16/2017,home,12560,334,Kentucky,9,True,1,6,-5,loss,1 - 6,220423,434,0,1.0,5.0,0.0,4,4,3,3,4,0,20,15,1,0,0,0,0,1,0,0,0,0,1,77.0,5,3,0,1,0,1,0,,1643147,2017,
04/23/2017,away,12560,433,Ole Miss,9,True,6,9,-3,loss,6 - 9,222113,434,0,1.0,2.1,0.0,3,4,3,5,0,0,15,9,1,0,0,0,1,0,0,0,0,0,1,0.0,2,4,0,1,0,1,0,,1643147,2017,
03/11/2017,away,12560,749,Wake Forest,9,True,8,5,3,win,8 - 5,210805,490,0,1.0,3.0,0.0,3,1,1,3,2,0,15,10,2,0,0,0,0,0,0,0,0,2,0,52.0,4,3,0,0,0,1,0,,1660577,2017,
03/18/2017,home,12560,415,Miami (FL),9,True,5,2,3,win,5 - 2,212027,490,0,1.0,3.0,0.0,1,0,0,1,3,0,11,10,0,0,0,0,0,0,0,0,0,0,0,43.0,1,5,0,0,0,1,2,,1660577,2017,
03/25/2017,home,12560,367,Louisville,10,True,6,7,-1,loss,6 - 7,213764,490,0,1.0,2.2,0.0,6,4,4,4,1,0,17,13,1,0,0,1,0,0,0,0,0,0,0,68.0,3,3,0,0,0,1,0,,1660577,2017,
04/01/2017,away,12560,513,Notre Dame,9,True,1,2,-1,loss,1 - 2,215562,490,0,1.0,7.0,0.0,5,1,1,2,4,0,27,21,0,0,0,0,1,2,0,0,0,1,1,108.0,8,6,0,0,0,1,1,,1660577,2017,
04/08/2017,home,12560,234,Florida St.,9,True,4,3,1,win,4 - 3,217296,490,0,1.0,6.1,0.0,4,2,2,4,5,0,25,19,0,0,0,0,0,0,0,0,0,1,1,108.0,4,8,1,0,0,1,2,,1660577,2017,
04/15/2017,away,12560,457,North Carolina,9,True,1,7,-6,loss,1 - 7,219881,490,0,1.0,5.0,0.0,4,3,3,4,3,0,23,17,2,1,0,0,1,0,0,0,0,1,1,91.0,5,7,0,1,0,1,1,,1660577,2017,
04/23/2017,away,12560,67,Boston College,9,True,1,2,-1,loss,1 - 2,222421,490,0,1.0,6.2,0.0,4,1,1,3,11,0,27,23,1,0,0,0,0,0,0,0,0,1,0,118.0,1,7,0,0,0,1,1,,1660577,2017,
05/07/2017,home,12560,180,Delaware,9,True,4,5,-1,loss,4 - 5,225404,490,0,1.0,6.0,0.0,3,2,2,2,6,0,22,20,1,0,0,1,0,0,0,0,0,0,0,98.0,5,6,0,0,0,1,2,,1660577,2017,
05/13/2017,away,12560,545,Pittsburgh,9,True,8,6,2,win,8 - 6,226319,490,0,1.0,7.0,0.0,10,6,5,2,6,0,32,29,1,1,0,0,0,0,0,0,0,1,0,0.0,9,4,1,0,0,1,4,,1660577,2017,
05/26/2017,home,12560,457,North Carolina,9,True,4,12,-8,loss,4 - 12,227517,490,0,1.0,0.2,0.0,7,8,2,1,1,0,10,9,2,0,0,1,0,0,0,0,0,0,0,44.0,1,0,0,1,0,1,0,,1660577,2017,
02/18/2017,home,12560,2678,Ark.-Pine Bluff,9,True,13,3,10,win,13 - 3,206090,366,0,0.0,1.0,0.0,0,0,0,0,1,0,5,4,0,0,0,0,0,1,0,0,0,0,0,11.0,2,0,0,0,0,5,0,,1770016,2017,
02/25/2017,away,12560,702,UT Arlington,9,True,7,3,4,win,7 - 3,207296,366,0,0.0,2.0,0.0,3,1,1,1,1,0,10,8,1,0,0,0,0,0,0,0,0,0,1,27.0,1,4,0,0,0,2,1,,1770016,2017,
03/04/2017,home,12560,782,Wichita St.,9,True,15,1,14,win,15 - 1,208607,366,0,0.0,1.0,0.0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,2,0,0,0,18.0,1,0,0,0,0,2,1,,1770016,2017,
03/05/2017,home,12560,782,Wichita St.,9,True,12,10,2,win,12 - 10,209125,366,0,0.0,0.1,0.0,0,0,0,2,1,0,4,1,0,0,0,0,1,1,0,2,2,0,0,20.0,0,0,0,0,0,4,1,,1770016,2017,
03/10/2017,away,12560,30,Arkansas St.,9,True,5,6,-1,loss,5 - 6,210426,366,0,0.0,1.2,0.0,2,1,1,1,3,0,9,6,0,0,0,0,3,2,0,1,1,0,0,39.0,1,0,0,1,0,3,1,,1770016,2017,
04/14/2017,away,12560,523,Old Dominion,9,True,7,3,4,win,7 - 3,219469,366,0,0.0,2.2,0.0,2,0,0,1,4,0,11,10,0,0,0,0,0,0,0,0,0,0,0,39.0,3,1,0,0,0,2,0,,1770016,2017,
04/18/2017,home,12560,402,McNeese,9,True,8,7,1,win,8 - 7,220723,366,0,0.0,4.2,0.0,2,0,0,2,4,0,17,15,0,0,0,0,1,0,0,2,1,0,0,63.0,5,4,0,0,0,4,1,,1770016,2017,
04/22/2017,home,12560,9,UAB,9,True,10,2,8,win,10 - 2,221527,366,0,0.0,1.0,0.0,2,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,18.0,2,0,0,0,0,3,0,,1770016,2017,
04/28/2017,home,12560,772,Western Ky.,9,True,6,5,1,win,6 - 5,223204,366,0,0.0,2.0,0.0,0,0,0,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,24.0,4,0,0,0,1,3,0,,1770016,2017,
05/05/2017,away,12560,231,FIU,9,True,14,6,8,win,14 - 6,224838,366,0,0.0,3.0,0.0,6,3,3,2,3,0,17,14,2,0,0,1,1,0,0,0,0,1,0,66.0,3,3,0,0,0,2,0,,1770016,2017,
05/14/2017,home,12560,388,Marshall,9,True,6,4,2,win,6 - 4,226552,366,0,0.0,0.1,0.0,2,1,1,1,0,0,4,3,1,0,0,1,0,0,0,0,0,0,0,14.0,0,1,0,0,0,2,0,,1770016,2017,
05/19/2017,away,12560,419,Middle Tenn.,9,True,19,2,17,win,19 - 2,226955,366,0,0.0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9.0,3,0,0,0,0,2,0,,1770016,2017,
05/20/2017,away,12560,419,Middle Tenn.,9,True,8,9,-1,loss,8 - 9,227159,366,0,0.0,1.0,0.0,3,2,2,1,0,0,7,6,3,0,0,0,1,0,0,2,1,0,0,25.0,3,0,0,1,0,4,0,,1770016,2017,
02/23/2017,home,12560,77,BYU,13,True,3,2,1,win,3 - 2,206883,630,0,0.0,1.1,0.0,2,0,0,0,1,0,6,6,1,0,0,0,0,0,0,2,1,0,0,24.0,0,3,0,0,0,6,0,,1766106,2017,
02/25/2017,home,12560,502,Northern Colo.,9,True,5,4,1,win,5 - 4,207576,630,0,0.0,1.0,0.0,1,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,11.0,3,0,0,0,1,5,0,,1766106,2017,
02/27/2017,home,12560,418,Michigan,9,True,2,6,-4,loss,2 - 6,207980,630,0,0.0,1.0,0.0,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,14.0,0,2,0,0,0,8,0,,1766106,2017,
03/03/2017,home,12560,465,UNLV,9,True,6,5,1,win,6 - 5,208279,630,0,0.0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,1,3,0,,1766106,2017,
03/05/2017,home,12560,465,UNLV,9,True,9,5,4,win,9 - 5,209034,630,0,0.0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,7.0,3,0,0,0,0,6,0,,1766106,2017,
03/07/2017,home,12560,534,Pacific,9,True,9,2,7,win,9 - 2,209551,630,0,0.0,1.0,0.0,1,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,19.0,0,1,0,0,0,11,1,,1766106,2017,
03/12/2017,away,12560,473,New Mexico,9,True,3,8,-5,loss,3 - 8,210873,630,0,0.0,1.2,0.0,1,1,1,2,2,0,8,6,0,1,0,0,0,0,0,3,0,0,0,35.0,1,2,0,0,0,6,1,,1766106,2017,
03/24/2017,away,12560,277,Hawaii,9,True,7,8,-1,loss,7 - 8,213471,630,0,0.0,0.1,0.0,1,0,0,1,1,0,3,2,0,0,0,0,0,0,1,1,0,0,0,13.0,0,0,0,0,0,5,0,,1766106,2017,
04/02/2017,away,12560,626,San Diego St.,9,True,1,5,-4,loss,1 - 5,216035,630,0,1.0,4.0,0.0,2,0,0,2,1,0,15,12,1,0,0,0,0,0,0,0,0,1,0,0.0,4,6,0,0,0,1,1,,1766106,2017,
04/15/2017,away,12560,466,Nevada,9,True,2,6,-4,loss,2 - 6,219811,630,0,1.0,4.0,0.0,6,3,3,1,0,0,19,17,2,1,0,0,0,0,0,0,0,1,0,57.0,5,6,0,1,0,1,0,,1766106,2017,
04/23/2017,home,12560,721,Air Force,9,True,5,9,-4,loss,5 - 9,222087,630,0,1.0,4.1,0.0,6,5,5,3,2,0,20,17,2,0,0,3,0,0,0,0,0,0,0,74.0,3,6,0,1,0,1,0,,1766106,2017,
05/14/2017,home,12560,629,San Francisco,9,True,2,7,-5,loss,2 - 7,226494,630,0,1.0,6.0,0.0,7,5,5,1,3,0,25,24,2,1,0,0,1,0,0,0,0,0,0,91.0,5,8,0,1,0,1,1,,1766106,2017,
03/08/2017,home,12560,129,Central Mich.,9,True,7,9,-2,loss,7 - 9,209868,251,0,0.0,2.1,0.0,2,1,1,1,1,0,10,9,1,0,1,0,0,0,1,0,0,0,0,42.0,1,5,0,0,0,3,1,,1868240,2017,
04/21/2017,away,12560,635,Seton Hall,9,True,2,11,-9,loss,2 - 11,221182,251,0,0.0,1.2,0.0,1,0,0,2,2,0,7,5,0,0,0,0,0,0,0,2,1,0,0,31.0,1,1,0,0,0,4,1,,1868240,2017,
03/11/2017,home,12560,352,Lehigh,9,True,12,6,6,win,12 - 6,210704,500,0,0.0,0.0,0.0,4,4,4,1,0,0,5,4,1,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,3,0,,1866279,2017,
04/22/2017,home,12560,477,New York Tech,9,True,11,0,11,win,11 - 0,221782,500,0,0.0,1.0,0.0,1,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,20.0,2,1,0,0,0,3,0,,1866279,2017,
03/08/2017,away,12560,37,Auburn,9,True,4,6,-2,loss,4 - 6,209797,1157,0,0.0,1.2,0.0,2,2,0,4,2,0,13,9,1,0,0,0,0,0,0,0,0,0,0,45.0,1,2,0,1,0,3,1,,1533632,2017,
03/29/2017,away,12560,254,Georgia St.,9,True,10,7,3,win,10 - 7,214965,1157,0,1.0,2.1,0.0,0,2,2,4,0,0,11,6,0,0,0,0,0,1,0,0,0,0,0,46.0,5,1,0,0,0,1,0,,1533632,2017,
04/25/2017,away,12560,458,Charlotte,9,True,1,16,-15,loss,1 - 16,222635,1157,0,1.0,4.0,0.0,6,2,2,0,3,0,16,16,1,0,0,1,0,0,0,0,0,0,0,67.0,5,2,0,1,0,1,2,,1533632,2017,
05/08/2017,home,12560,769,Western Caro.,9,True,7,1,6,win,7 - 1,225748,1157,0,1.0,5.0,0.0,3,0,0,4,3,0,23,17,0,0,0,0,0,1,0,0,0,0,0,81.0,3,7,1,0,0,1,1,,1533632,2017,
05/20/2017,home,12560,28755,FGCU,9,True,3,13,-10,loss,3 - 13,227106,1157,0,1.0,5.0,0.0,4,4,4,5,3,0,23,17,0,0,0,2,2,1,0,0,0,0,0,90.0,6,4,0,1,0,1,0,,1533632,2017,
02/26/2017,home,12560,201,Eastern Ill.,9,True,2,4,-2,loss,2 - 4,207735,1004,0,0.0,2.2,0.0,1,0,0,1,3,0,10,7,0,0,0,0,0,0,0,2,0,2,0,0.0,4,1,0,0,0,4,0,,1659447,2017,
03/31/2017,away,12560,508,Northwestern St.,9,True,2,3,-1,loss,2 - 3,215457,1004,0,1.0,8.0,1.0,6,3,3,3,11,0,33,28,2,0,0,1,0,0,0,0,0,1,1,137.0,10,3,0,1,0,1,3,,1659447,2017,
