App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
0,0.0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,11.0,1,0,0,0,0,3,1,04/07/2017,away,12560,27,App State,9,True,18,1,17,win,217191,702,1768467,2017,,,
0,0.0,0.2,0.0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,4,1,04/14/2017,home,12560,32,Little Rock,9,True,4,9,-5,loss,219447,702,1768467,2017,,,
0,0.0,1.0,0.0,4,2,2,0,1,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,2,0,04/22/2017,away,12560,498,ULM,9,True,10,2,8,win,221510,702,1768467,2017,,,
0,0.0,1.0,0.0,1,0,0,0,1,0,5,4,1,0,0,0,0,1,0,0,0,0,0,26.0,2,0,0,0,0,2,0,05/06/2017,away,12560,30,Arkansas St.,9,True,15,3,12,win,225005,702,1768467,2017,,,
0,1.0,3.0,0.0,3,5,3,5,0,0,18,13,0,0,0,0,3,0,0,0,0,0,0,0.0,5,4,0,0,0,1,0,02/18/2017,away,12560,542,Pfeiffer,9,True,9,10,-1,loss,206158,437,1542222,2017,,,
0,1.0,7.0,0.0,4,2,1,0,5,0,27,26,2,0,0,0,0,1,0,0,0,0,0,0.0,13,3,0,0,0,1,3,02/24/2017,neutral,12560,1460,Wilmington (DE),9,True,3,6,-3,loss,207112,437,1542222,2017,,,
0,1.0,7.0,0.0,8,5,4,1,9,0,32,29,2,0,0,1,1,1,0,0,0,1,0,0.0,6,4,0,1,0,1,5,03/04/2017,home,12560,410,Merrimack,9,True,5,12,-7,loss,208890,437,1542222,2017,,,
0,1.0,7.0,0.0,6,4,1,7,3,0,33,26,0,0,0,0,1,0,0,0,0,0,0,0.0,12,3,0,1,0,1,0,03/11/2017,neutral,12560,658,Southern Conn. St.,9,True,3,4,-1,loss,210715,437,1542222,2017,,,
0,0.0,1.0,0.0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,5,1,03/21/2017,home,12560,8956,Dominican (NY),9,True,9,10,-1,loss,213013,437,1542222,2017,,,
0,1.0,7.0,0.0,7,3,3,5,4,0,32,26,1,0,0,0,0,0,0,0,0,1,0,99.0,11,4,1,0,0,1,1,03/25/2017,home,12560,560,Queens (NY),9,True,10,4,6,win,213815,437,1542222,2017,,,
0,1.0,9.0,1.0,9,1,1,1,4,0,34,32,2,0,0,0,0,0,0,0,0,1,0,112.0,11,9,1,0,0,1,2,04/01/2017,home,12560,74,Bridgeport,9,True,8,1,7,win,215635,437,1542222,2017,,,
0,1.0,3.0,0.0,6,6,6,5,1,0,21,12,4,0,0,0,1,2,0,0,0,1,1,80.0,5,2,0,0,0,1,0,04/08/2017,home,12560,560,Queens (NY),9,True,18,13,5,win,217515,437,1542222,2017,,,
0,1.0,6.0,0.0,4,2,2,6,5,0,27,19,1,0,0,0,0,2,0,0,0,0,0,117.0,7,3,0,1,0,1,2,04/14/2017,home,12560,407,Mercy,9,True,0,3,-3,loss,219379,437,1542222,2017,,,
0,1.0,8.1,1.0,6,3,2,5,4,0,38,30,0,0,0,0,0,0,0,0,0,2,0,122.0,15,6,0,1,0,1,0,04/22/2017,away,12560,362,LIU Post,9,True,2,3,-1,loss,221471,437,1542222,2017,,,
0,1.0,7.0,0.0,9,7,7,1,3,0,31,29,2,0,0,1,1,1,0,0,0,0,0,98.0,9,8,0,1,0,1,1,04/28/2017,away,12560,1348,St. Thomas Aquinas,9,True,2,7,-5,loss,223260,437,1542222,2017,,,
0,1.0,5.1,0.0,8,5,4,1,5,0,25,23,4,0,0,0,2,0,0,0,0,1,0,93.0,6,5,0,0,0,1,1,05/06/2017,away,12560,362,LIU Post,10,True,5,8,-3,loss,225210,437,1542222,2017,,,
0,1.0,5.2,0.0,8,5,5,5,2,0,28,23,2,1,0,1,0,0,0,0,0,0,0,107.0,10,2,0,1,0,1,0,05/11/2017,away,12560,1348,St. Thomas Aquinas,9,True,1,6,-5,loss,225999,437,1542222,2017,,,
0,0.0,2.2,0.0,3,2,1,0,2,0,12,11,0,0,0,0,0,0,0,0,0,1,0,36.0,6,0,0,0,0,2,0,02/18/2017,home,12560,249,George Washington,9,True,5,9,-4,loss,206225,37,1868056,2017,,,
0,0.0,0.2,0.0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,0,0,0,17.0,1,1,0,0,0,4,0,02/22/2017,home,12560,228,Florida A&M,9,True,12,8,4,win,206820,37,1868056,2017,,,
0,0.0,1.0,0.0,2,1,1,0,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,9.0,0,1,0,0,0,3,0,02/26/2017,home,12560,285,Holy Cross,9,True,13,4,9,win,207761,37,1868056,2017,,,
0,0.0,2.1,0.0,0,0,0,2,2,0,8,6,0,0,0,0,0,0,0,3,0,0,0,37.0,2,2,0,0,0,4,0,02/28/2017,home,12560,625,Samford,9,True,6,7,-1,loss,208052,37,1868056,2017,,,
0,0.0,0.2,0.0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,3,0,0,0,6.0,1,0,0,0,0,4,1,03/03/2017,home,12560,28600,Lipscomb,9,True,8,0,8,win,208349,37,1868056,2017,,,
0,0.0,1.2,0.0,0,0,0,1,2,0,6,5,0,0,0,0,0,0,0,1,0,0,0,21.0,3,0,0,0,0,4,1,03/05/2017,home,12560,28600,Lipscomb,10,True,7,8,-1,loss,209105,37,1868056,2017,,,
0,0.0,1.0,0.0,6,5,5,0,1,0,9,9,2,0,0,0,0,0,0,1,0,0,0,21.0,1,1,0,1,0,2,1,03/10/2017,home,12560,1320,Presbyterian,9,True,8,11,-3,loss,210183,37,1868056,2017,,,
0,0.0,2.0,0.0,0,0,0,1,1,0,8,6,0,0,0,0,0,1,0,0,0,0,0,22.0,3,2,0,0,0,2,0,03/12/2017,home,12560,1320,Presbyterian,9,True,8,0,8,win,210936,37,1868056,2017,,,
0,0.0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12.0,2,0,0,0,0,2,0,03/15/2017,home,12560,315,Jacksonville St.,9,True,10,1,9,win,211494,37,1868056,2017,,,
0,0.0,4.0,0.0,1,0,0,0,1,0,13,11,1,0,0,0,0,0,0,2,1,1,1,49.0,6,5,0,0,0,3,0,03/19/2017,home,12560,235,Florida,9,True,6,5,1,win,212613,37,1868056,2017,,,
0,0.0,0.2,0.0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,15.0,0,2,1,0,0,2,0,03/21/2017,away,12560,255,Georgia Tech,9,True,7,4,3,win,213002,37,1868056,2017,,,
0,0.0,0.2,0.0,2,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,3,0,03/24/2017,away,12560,257,Georgia,9,True,2,1,1,win,213475,37,1868056,2017,,,
0,0.0,2.0,0.0,0,0,0,0,0,0,7,6,0,0,0,0,0,1,0,0,0,0,0,28.0,6,0,1,0,0,4,0,04/02/2017,home,12560,648,South Carolina,9,True,6,5,1,win,216122,37,1868056,2017,,,
0,0.0,3.2,0.0,6,2,1,0,3,0,15,15,0,0,0,0,1,0,0,1,0,0,0,49.0,2,3,0,0,0,2,0,04/04/2017,home,12560,255,Georgia Tech,9,True,8,11,-3,loss,216694,37,1868056,2017,,,
