App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
1,,0.2,0.0,0,1,1,4,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,2,0,04/17/2021,away,15580,251,Georgetown,9,True,7,11,-4,loss,5059472,603,2328862,2021,7 - 11,0.0,26.0
1,,0.2,0.0,1,1,0,2,0,0,6,3,0,0,0,0,0,1,0,2,2,0,0,,2,0,0,0,0,4,0,04/24/2021,home,15580,635,Seton Hall,9,True,4,19,-15,loss,5065619,603,2328862,2021,4 - 19,0.0,0.0
1,,0.0,0.0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,,0,0,0,0,0,3,0,05/01/2021,away,15580,169,Creighton,9,True,4,11,-7,loss,5071484,603,2328862,2021,4 - 11,0.0,10.0
1,,0.0,0.0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,,0,0,0,0,0,2,0,05/15/2021,away,15580,87,Butler,9,True,9,4,5,win,5078774,603,2328862,2021,9 - 4,0.0,0.0
1,,0.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,,1,0,0,0,0,6,0,05/21/2021,home,15580,739,Villanova,9,True,2,7,-5,loss,5080428,603,2328862,2021,2 - 7,0.0,4.0
1,1.0,1.1,0.0,5,4,4,2,3,0,11,8,1,0,0,1,0,1,0,0,0,0,0,0.0,0,0,0,1,0,1,1,03/02/2021,away,15580,340,La Salle,9,True,6,10,-4,loss,5012649,178,2346163,2021,6 - 10,1.0,
1,0.0,2.2,0.0,2,2,2,3,3,0,15,10,0,0,0,0,2,2,0,0,0,0,0,56.0,3,2,0,0,0,2,2,03/07/2021,away,15580,391,UMBC,9,True,2,18,-16,loss,5026462,178,2346163,2021,2 - 18,0.0,
1,0.0,2.0,0.0,2,4,4,2,1,0,9,6,0,0,0,0,0,1,0,2,0,0,0,0.0,1,2,0,1,0,2,0,03/12/2021,away,15580,450,Mount St. Mary's,9,True,11,13,-2,loss,5025971,178,2346163,2021,11 - 13,0.0,
1,0.0,1.0,0.0,4,3,2,2,0,0,8,5,2,0,0,0,0,0,1,0,0,1,0,0.0,1,0,0,0,0,2,0,03/20/2021,home,15580,165,Coppin St.,9,True,3,9,-6,loss,5033789,178,2346163,2021,3 - 9,1.0,
1,0.0,2.2,0.0,2,1,1,1,2,0,10,9,0,0,0,0,1,0,0,3,3,0,0,35.0,4,1,0,0,0,2,0,03/28/2021,away,15580,249,George Washington,9,True,2,8,-6,loss,5040103,178,2346163,2021,2 - 8,0.0,
