App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,score,pickoffs,Pitches
0,0.0,1.1,0.0,1,0,0,0,2,0,5,5,0,0,0,0,0,0,0,3,0,0,0,0.0,1,1,0,0,0,3,1,02/17/2018,away,12973,277,Hawaii,9,True,1,4,-3,loss,85473,721,1769416,2018,1 - 4,,
0,0.0,1.2,0.0,0,0,0,1,3,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0.0,2,0,0,0,0,2,1,02/18/2018,away,12973,277,Hawaii,9,True,1,2,-1,loss,85883,721,1769416,2018,1 - 2,,
0,0.0,3.0,0.0,2,0,0,2,2,0,11,9,1,0,0,0,0,0,0,0,0,0,0,41.0,3,2,1,0,0,5,0,02/25/2018,home,12973,726,Navy,16,True,11,10,1,win,87051,721,1769416,2018,11 - 10,,
0,0.0,2.1,0.0,2,0,0,3,2,0,11,8,0,0,0,0,0,0,0,1,0,0,0,43.0,4,0,0,0,0,2,0,03/04/2018,away,12973,1045,DBU,10,True,6,0,6,win,88320,721,1769416,2018,6 - 0,,
0,0.0,1.0,0.0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,4,0,03/07/2018,home,12973,649,South Dakota St.,9,True,11,7,4,win,89104,721,1769416,2018,11 - 7,,
0,0.0,0.2,0.0,1,1,1,1,1,0,5,3,0,0,0,0,0,1,0,0,0,0,0,22.0,1,0,0,1,0,2,0,03/09/2018,away,12973,626,San Diego St.,9,True,2,3,-1,loss,89488,721,1769416,2018,2 - 3,,
0,0.0,1.2,0.0,1,0,0,1,1,0,7,5,0,0,0,0,0,0,0,1,1,1,0,25.0,2,2,1,0,0,3,0,03/13/2018,home,12973,929,Adams St.,9,True,7,6,1,win,90841,721,1769416,2018,7 - 6,,
0,0.0,0.2,0.0,3,4,4,1,0,0,5,4,2,0,0,0,0,0,0,3,2,0,0,18.0,1,0,0,1,0,3,0,03/17/2018,home,12973,465,UNLV,9,True,15,19,-4,loss,91591,721,1769416,2018,15 - 19,,
0,0.0,2.0,0.0,2,0,0,1,2,0,9,8,0,0,0,0,0,0,0,2,2,0,0,39.0,3,1,0,0,0,5,1,03/18/2018,home,12973,465,UNLV,9,True,15,12,3,win,92142,721,1769416,2018,15 - 12,,
0,0.0,1.0,0.0,3,3,1,0,1,0,7,6,0,0,0,0,4,0,0,1,1,1,0,0.0,2,0,1,0,0,2,0,03/20/2018,away,12973,502,Northern Colo.,9,True,12,6,6,win,92576,721,1769416,2018,12 - 6,,
0,0.0,1.0,0.0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,2,2,1,0,13.0,2,1,0,0,0,4,0,03/24/2018,away,12973,473,New Mexico,10,True,11,12,-1,loss,93147,721,1769416,2018,11 - 12,,
