date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season,GS,pitches,pickoffs
03/04/2018,home,12973,799,Wis.-Parkside,9,True,4,9,-5,loss,,88476,30222,0,3.0,0.0,2,5,0,3,3,0,14,11,0,1,0,0,2,0,0,0,0,0,0,,3,2,0,0,0,2,2,1980614,2018,0.0,0.0,
03/12/2018,away,12973,0,Warner,9,True,15,3,12,win,,90653,30222,0,2.0,0.0,2,1,1,3,4,0,11,8,1,0,0,1,0,0,0,0,0,0,0,,1,1,0,0,0,2,3,1980614,2018,0.0,50.0,
03/23/2018,home,12973,262,Grand Valley St.,9,True,3,2,1,win,,92949,30222,0,3.0,0.0,1,0,0,0,5,0,11,10,0,0,0,0,0,1,0,0,0,0,0,,2,2,0,0,0,2,3,1980614,2018,0.0,0.0,
03/30/2018,away,12973,510,Northwood,9,True,5,8,-3,loss,,95031,30222,0,2.1,0.0,2,2,2,5,3,0,14,9,0,0,0,0,1,0,0,0,0,0,0,,2,2,0,0,0,2,1,1980614,2018,0.0,0.0,
04/07/2018,home,12973,757,Wayne St. (MI),9,True,0,5,-5,loss,,96772,30222,0,2.0,0.0,3,0,0,1,1,0,10,9,1,0,0,0,0,0,0,0,0,0,0,,2,3,0,0,0,2,0,1980614,2018,0.0,0.0,
04/14/2018,away,12973,591,Saginaw Valley,9,True,10,8,2,win,,99010,30222,0,1.0,0.0,2,2,2,1,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,2,1,1980614,2018,0.0,0.0,
04/21/2018,away,12973,35,Ashland,9,True,3,4,-1,loss,,100979,30222,0,0.1,0.0,1,0,0,1,0,0,3,2,0,0,0,0,1,0,1,0,0,0,0,,0,1,0,0,0,3,0,1980614,2018,0.0,12.0,
04/27/2018,away,12973,1403,Tiffin,9,True,0,7,-7,loss,,102045,30222,0,3.0,0.0,5,7,5,4,3,0,21,15,0,0,0,1,2,2,0,0,0,0,0,,3,3,0,1,0,2,1,1980614,2018,0.0,0.0,
05/05/2018,home,12973,30221,Davenport,9,True,6,14,-8,loss,,104360,30222,0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,3,0,1980614,2018,0.0,0.0,
05/05/2018,home,12973,30221,Davenport,9,True,2,9,-7,loss,,104476,30222,0,1.0,0.0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,3,0,1980614,2018,0.0,0.0,
02/27/2018,home,12973,30088,Tex. Permian Basin,9,True,8,2,6,win,8 - 2,87345,2,0,4.0,0.0,1,2,0,2,6,0,17,13,0,0,0,0,1,0,0,0,0,2,0,,1,5,0,0,0,1,2,1767864,2018,1.0,73.0,
03/09/2018,away,12973,2743,UIW,9,True,2,5,-3,loss,2 - 5,89449,2,0,5.0,0.0,10,5,4,1,2,0,25,22,1,0,0,0,1,1,0,0,0,1,0,,1,10,0,1,0,1,2,1767864,2018,1.0,96.0,
03/17/2018,home,12973,474,New Orleans,9,True,6,5,1,win,6 - 5,91622,2,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,1,3,1,1767864,2018,0.0,10.0,
03/20/2018,away,12973,702,UT Arlington,9,True,0,3,-3,loss,0 - 3,92518,2,0,1.0,0.0,1,1,1,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,3,0,1767864,2018,0.0,14.0,
03/23/2018,home,12973,676,SFA,10,True,7,11,-4,loss,7 - 11,92932,2,0,0.2,0.0,3,2,2,1,0,0,6,5,1,0,0,0,1,0,0,0,0,0,0,,1,1,0,0,0,5,0,1767864,2018,0.0,17.0,
03/30/2018,away,12973,624,Sam Houston,10,True,6,7,-1,loss,6 - 7,94761,2,0,1.2,0.0,0,1,1,4,1,0,9,4,0,0,0,0,0,0,1,0,0,1,0,,3,1,0,1,0,4,1,1767864,2018,0.0,38.0,
04/04/2018,away,12973,553,Prairie View,9,True,16,0,16,win,16 - 0,95977,2,0,6.0,0.0,2,0,0,2,2,0,23,21,0,0,0,0,0,0,0,0,0,0,0,,8,7,1,0,0,1,0,1767864,2018,1.0,78.0,
04/08/2018,away,12973,402,McNeese,9,True,2,6,-4,loss,2 - 6,97034,2,0,1.0,0.0,1,1,1,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,,1,2,0,0,0,5,0,1767864,2018,0.0,13.0,
05/05/2018,home,12973,1004,Central Ark.,9,True,8,9,-1,loss,8 - 9,104223,2,0,0.2,0.0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,,0,2,0,0,0,4,0,1767864,2018,0.0,6.0,
05/06/2018,home,12973,1004,Central Ark.,9,True,4,16,-12,loss,4 - 16,104720,2,0,3.1,0.0,9,9,8,2,1,0,22,17,3,0,0,0,3,2,0,0,0,1,0,,7,1,0,1,0,1,1,1767864,2018,1.0,74.0,
05/13/2018,away,12973,508,Northwestern St.,9,True,1,6,-5,loss,1 - 6,105779,2,0,3.0,0.0,1,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,,4,3,0,0,0,3,1,1767864,2018,0.0,37.0,
05/19/2018,home,12973,26172,A&M-Corpus Christi,9,True,3,10,-7,loss,3 - 10,106367,2,0,1.0,0.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,4,0,1767864,2018,0.0,9.0,
03/11/2018,away,12973,0,Fla. Memorial,9,True,7,5,2,win,,90378,30222,0,2.0,0.0,4,3,3,2,3,0,12,10,1,0,0,1,0,0,0,0,0,0,0,,2,1,0,0,0,2,1,1896810,2018,0.0,47.0,
03/31/2018,away,12973,510,Northwood,9,True,7,8,-1,loss,,95604,30222,0,1.2,0.0,4,2,2,1,1,0,9,8,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,1,0,4,0,1896810,2018,0.0,0.0,
04/24/2018,home,12973,309,UIndy,9,True,3,1,2,win,,101664,30222,0,5.0,0.0,6,0,0,0,2,0,20,18,2,0,0,0,0,1,0,0,0,1,0,,5,6,1,0,0,1,0,1896810,2018,1.0,0.0,
02/25/2018,home,12973,726,Navy,16,True,11,10,1,win,11 - 10,87051,721,0,6.2,0.0,1,0,0,4,5,0,25,21,0,0,0,0,0,0,0,1,0,0,0,,10,5,0,0,0,4,0,1653236,2018,0.0,107.0,
03/04/2018,away,12973,1045,DBU,10,True,6,0,6,win,6 - 0,88320,721,0,6.2,0.0,2,0,0,5,7,0,28,22,1,0,0,0,0,1,0,0,0,0,0,,4,9,1,0,0,1,4,1653236,2018,1.0,117.0,
03/11/2018,away,12973,626,San Diego St.,9,True,2,3,-1,loss,2 - 3,90523,721,0,4.2,0.0,5,3,1,4,0,0,25,17,0,0,0,1,0,2,0,0,0,1,1,,6,6,0,1,0,1,0,1653236,2018,1.0,91.0,
03/18/2018,home,12973,465,UNLV,9,True,15,12,3,win,15 - 12,92142,721,0,2.1,0.0,6,7,7,3,2,0,15,12,3,0,0,1,0,0,0,0,0,0,0,,3,1,0,0,0,1,1,1653236,2018,1.0,65.0,
03/25/2018,away,12973,473,New Mexico,9,True,4,7,-3,loss,4 - 7,93579,721,0,5.1,0.0,6,5,5,6,4,0,26,19,0,0,0,0,0,1,0,0,0,0,0,,5,4,0,1,0,1,1,1653236,2018,1.0,107.0,
04/02/2018,away,12973,30024,Utah Valley,9,True,12,6,6,win,12 - 6,95712,721,0,4.2,0.0,5,2,2,0,3,0,17,15,1,0,0,0,0,1,0,2,0,0,1,,5,3,1,0,0,2,1,1653236,2018,0.0,51.0,
04/07/2018,home,12973,626,San Diego St.,9,True,2,0,2,win,2 - 0,96851,721,0,3.2,0.0,1,0,0,5,1,0,16,10,0,0,0,0,0,1,0,1,0,0,0,,8,0,0,0,1,2,0,1653236,2018,0.0,61.0,
04/10/2018,away,12973,1356,Seattle U,9,True,5,11,-6,loss,5 - 11,97756,721,0,1.0,0.0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,6,0,1653236,2018,0.0,0.0,
04/13/2018,away,12973,465,UNLV,9,True,3,6,-3,loss,3 - 6,98144,721,0,6.0,0.0,8,4,4,2,8,0,29,27,2,0,0,0,0,0,0,0,0,0,0,,2,8,0,1,0,1,4,1653236,2018,1.0,109.0,
04/22/2018,home,12973,466,Nevada,9,True,3,1,2,win,3 - 1,101350,721,0,9.0,1.0,6,1,1,1,8,0,37,34,1,0,0,0,0,2,0,0,0,0,0,,13,5,1,0,0,1,1,1653236,2018,1.0,116.0,
04/29/2018,away,12973,96,Fresno St.,9,True,0,10,-10,loss,0 - 10,103083,721,0,3.1,0.0,9,7,6,0,3,0,20,18,4,0,0,1,0,0,0,0,0,2,0,,5,2,0,1,0,1,1,1653236,2018,1.0,74.0,
05/11/2018,home,12973,473,New Mexico,9,True,6,7,-1,loss,6 - 7,105281,721,0,4.1,0.0,6,3,3,2,3,0,24,19,3,0,0,0,1,3,0,0,0,0,0,,10,0,0,0,0,1,0,1653236,2018,1.0,87.0,
05/18/2018,away,12973,630,San Jose St.,9,True,5,6,-1,loss,5 - 6,106150,721,0,2.1,0.0,3,1,1,3,2,0,13,10,0,0,0,0,1,0,1,0,0,0,0,,3,2,0,1,0,2,1,1653236,2018,0.0,0.0,
02/25/2018,home,12973,699,Texas Southern,9,True,8,1,7,win,8 - 1,86992,2,0,7.2,0.0,3,1,0,1,11,0,27,25,0,0,0,0,0,0,0,1,0,1,0,,7,4,1,0,0,2,2,1997694,2018,0.0,112.0,
